Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
1940-60,1981-2000,16,999,1.8376494851953997,0.106,0.212
1940-60,2001-2010,26,999,1.573919653236013,0.182,0.273
1940-60,2011-2020,25,999,2.421812303998966,0.102,0.212
1981-2000,2001-2010,38,999,1.2501191456040737,0.244,0.2928
1981-2000,2011-2020,37,999,1.938676812982959,0.046,0.212
2001-2010,2011-2020,47,999,0.6277808544949403,0.745,0.745
