sample-id	Site
GF357	BigleyFm_1
GF358	BigleyFm_1
GF359	BigleyFm_1
GF360	BigleyFm_1
GF361	BigleyFm_2
GF362	BigleyFm_2
GF363	BigleyFm_2
GF364	BigleyFm_2
GF365	BigleyFm_2
GF366	NorringtonMannorFm_1
GF368	NorringtonMannorFm_1
GF369	NorringtonMannorFm_1
GF370	NorringtonMannorFm_1
GF371	NorringtonMannorFm_2
GF372	NorringtonMannorFm_2
GF373	NorringtonMannorFm_2
GF374	NorringtonMannorFm_2
GF375	NorringtonMannorFm_2
GF376	ManorFmBerwickStJohn_1
GF377	ManorFmBerwickStJohn_1
GF378	ManorFmBerwickStJohn_1
GF379	ManorFmBerwickStJohn_1
GF380	ManorFmBerwickStJohn_1
GF381	ManorFmBerwickStJohn_3
GF382	ManorFmBerwickStJohn_3
GF383	ManorFmBerwickStJohn_3
GF384	ManorFmBerwickStJohn_3
GF385	ManorFmBerwickStJohn_3
GF386	Jemma_1
GF387	Jemma_1
GF388	Jemma_1
GF389	Jemma_1
GF390	Jemma_1
GF391	Jemma_2
GF392	Jemma_2
GF393	Jemma_2
GF394	Jemma_2
GF395	Jemma_2
GF396	Jemma_7
GF397	Jemma_7
GF398	Jemma_7
GF399	Jemma_7
GF400	Jemma_7
GF401	Jemma_4
GF402	Jemma_4
GF403	Jemma_4
GF404	Jemma_4
GF405	Jemma_4
GF406	Jemma_5
GF407	Jemma_5
GF408	Jemma_5
GF409	Jemma_5
GF410	Jemma_5
GF411	Jemma_6
GF412	Jemma_6
GF413	Jemma_6
GF414	Jemma_6
GF415	Jemma_6
GF416	Jemma_9
GF417	Jemma_9
GF418	Jemma_9
GF419	Jemma_9
GF420	Jemma_9
GF421	HomeFarm_WoodlandTrust_Hampshire_good_1c
GF422	HomeFarm_WoodlandTrust_Hampshire_good_1c
GF423	HomeFarm_WoodlandTrust_Hampshire_good_1c
GF424	HomeFarm_WoodlandTrust_Hampshire_good_1c
GF425	HomeFarm_WoodlandTrust_Hampshire_good_1c
GF426	Crux_easton_70b1
GF427	Crux_easton_70b1
GF428	Crux_easton_70b1
GF429	Crux_easton_70b1
GF430	Crux_easton_70b1
GF431	Crux_easton_70b2
GF432	Crux_easton_70b2
GF433	Crux_easton_70b2
GF434	Crux_easton_70b2
GF435	Crux_easton_70b2
GF436	Martin_Down_arabel_reversion
GF437	Martin_Down_arabel_reversion
GF438	Martin_Down_arabel_reversion
GF439	Martin_Down_arabel_reversion
GF440	Martin_Down_arabel_reversion
GF441	Parsonage_down_reversion
GF442	Parsonage_down_reversion
GF443	Parsonage_down_reversion
GF444	Parsonage_down_reversion
GF445	Parsonage_down_reversion
GF447	TARGET_MartinDown
GF448	TARGET_MartinDown
GF449	TARGET_MartinDown
GF450	TARGET_MartinDown
GF451	TARGET_St_Catherines
GF452	TARGET_St_Catherines
GF453	TARGET_St_Catherines
GF454	TARGET_St_Catherines
GF455	TARGET_St_Catherines
GF456	TARGET_ParsonageDown
GF457	TARGET_ParsonageDown
GF458	TARGET_ParsonageDown
GF459	TARGET_ParsonageDown
GF460	TARGET_ParsonageDown
GF461	TARGET_KNEPP_A New_Barn_Field
GF462	TARGET_KNEPP_A New_Barn_Field
GF463	TARGET_KNEPP_A New_Barn_Field
GF464	TARGET_KNEPP_A New_Barn_Field
GF465	TARGET_KNEPP_A New_Barn_Field
GF466	Knepp_Pond_field
GF467	Knepp_Pond_field
GF468	Knepp_Pond_field
GF469	Knepp_Pond_field
GF470	Knepp_Pond_field
GF471	Knepp_Benton_field
GF472	Knepp_Benton_field
GF473	Knepp_Benton_field
GF474	Knepp_Benton_field
GF475	Knepp_Benton_field
