sample-id	site_code	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough	Age_category
#q2:types	numeric	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical
Stonehenge_2005	10	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	pH_7	145	No	No	Yes	Yes	Intermediate
Stonehenge_2007_2016	9	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	pH_7	158.8	No	Yes	Yes	Yes	Intermediate
Stonehenge_2009	8	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	pH_7	156.5	No	No	Yes	Yes	Intermediate
Stonehenge_2010	12	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	pH_7	202	No	Yes	Yes	Yes	Intermediate
Stonehenge_2011	13	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	pH_7	174.3	No	Yes	Yes	Yes	New
StowellFarms_1_adj	36	2015	6	SU1362464180	51.376513, -1.8056466	seed_mix	pH_6	21.8	Yes	Yes	Yes	Yes	New
Stratton_Wood	22	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	pH_7	126.8	Yes	No	No	Yes	Old
TARGET_KNEPP_A New_Barn_Field	64	2006	15	TQ1420019600	50.964513, -0.3751305	Natural_regen	pH_6	48.7	No	Yes	No		Intermediate
TARGET_MartinDown		old	>100	SU0558918665	50.967378, -1.9217813	Natural_regen	pH_8	104.9	No	No	Yes	No	Very Old
TARGET_ParsonageDown	63	old	>100	SU0552141345	51.17132, -1.9224106	Natural_regen	pH_8	112.3	No	No	Yes	No	Very Old
TARGET_St_Catherines	62	old	>100	SU4832527522	51.045025, -1.3120365	Natural_regen	pH_7	184.8	No	No	Yes	No	Very Old
ThropeManor_1	39	2002	19	SU0886123850	51.013962, -1.8750607	seed_mix	pH_7	78.1	Yes	No	Yes	No	Intermediate
ThropeManor_2	40	1998	23	SU0843924348	51.018447, -1.8810649	seed_mix	pH_7	28.8	Yes	No	Yes	Yes	Old
ThropeManor_3	41	2000	21	SU0901525189	51.026001, -1.8728325	seed_mix	pH_8	28.5	Yes	No	Yes	No	Old
Toposcope_Field_-_1980s	3	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	pH_7	139.7	No	Yes	Yes	No	Old
TownsendFarm_1	32	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	pH_8	36.6	Yes	No	Yes	No	New
TownsendFarm_2	33	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	pH_8	21.2	Yes	No	Yes	No	Intermediate
TownsendFarm_3_big	34	2014	7	SU0886965184	51.385634, -1.8739384	Green_hay_bush	pH_7	42.7	Yes	No	Yes	No	New
WESTMEAD_FARM	23	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	pH_7	159	Yes	No	Yes	No	Old
WINDMILL_farm		1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	pH_7	210	Yes	Yes	Yes	Yes	Old
Watlington_natural_reversion	15	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	pH_7	147.5	No	No	Yes	No	Old
WestEndFarm	30	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	pH_8	24.1	Yes	No	Yes	Yes	New
Whitelands_2018_19	1	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	pH_8	136.4	No	No	Yes	Yes	New
