index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis,k__Fungi;p__Ascomycota;__,k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,Unassigned;__;__,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporea,k__Fungi;p__Ascomycota;c__GS35,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Zoopagomycota;c__Zoopagomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Sareomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycota_cls_Incertae_sedis,k__Fungi;p__Chytridiomycota;c__Lobulomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Kickxellomycota;c__Ramicandelaberomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Monoblepharomycota;c__Hyaloraphidiomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Chytridiomycota;c__GS14,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes,k__Fungi;p__Blastocladiomycota;c__Physodermatomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Stramenopila;p__Ochrophyta;c__Bacillariophyceae,k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Sanchytriomycota;c__Sanchytriomycetes,k__Metazoa;p__Chordata;c__Actinopterygii,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycota_cls_Incertae_sedis,k__Fungi;p__Monoblepharomycota;__,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycota_cls_Incertae_sedis,k__Viridiplantae;__;__,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporia_cls_Incertae_sedis,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,pH_category,Age_category
Stonehenge_2002_2017,2131.0,521.0,1964.0,421.0,2209.0,229.0,1184.0,600.0,757.0,119.0,197.0,6.0,21.0,33.0,78.0,28.0,1.0,39.0,18.0,0.0,0.0,136.0,16.0,117.0,22.0,3.0,19.0,0.0,55.0,9.0,0.0,0.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11;nan,2002,19,SU1480043200,"51.187837, -1.7896132",Green_hay_bush,7.91,130.3,No,Yes,Yes,Yes,Below_median,Above_median
Stonehenge_2010,1830.0,827.0,2945.0,397.0,1405.0,426.0,614.0,359.0,725.0,493.0,290.0,0.0,28.0,24.0,44.0,62.0,4.0,208.0,80.0,0.0,0.0,18.0,8.0,48.0,12.0,62.0,2.0,0.0,59.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12;nan,2010,11,SU1070043000,"51.186129, -1.8482842",Green_hay_bush,7.69,202.0,No,Yes,Yes,Yes,Below_median,Below_median
Stonehenge_2011,1844.0,789.0,3224.0,319.0,797.0,316.0,993.0,535.0,874.0,264.0,230.0,0.0,39.0,56.0,16.0,93.0,12.0,197.0,104.0,0.0,0.0,70.0,13.0,43.0,27.0,51.0,1.0,0.0,20.0,9.0,0.0,1.0,3.0,4.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13;nan,2011,10,SU1050043600,"51.191528, -1.8511284",Green_hay_bush,7.85,174.3,No,Yes,Yes,Yes,Below_median,Below_median
Stonehenge_-_Luxenborough_BankB,2488.0,1342.0,3158.0,653.0,1149.0,593.0,422.0,213.0,28.0,341.0,172.0,0.0,19.0,32.0,48.0,207.0,13.0,56.0,2.0,0.0,0.0,2.0,0.0,37.0,13.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14;nan,2000,21,SU1290041900,"51.176193, -1.8168457",Green_hay_bush,7.78,186.6,Yes,No,Yes,Yes,Below_median,Above_median
Watlington_natural_reversion,3460.0,273.0,1066.0,450.0,2322.0,290.0,1363.0,394.0,267.0,35.0,256.0,0.0,124.0,2.0,165.0,33.0,0.0,56.0,0.0,70.0,0.0,197.0,0.0,46.0,111.0,0.0,1.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15;nan,2000,21,SU7050293600,"51.636798, -0.98266944",Natural_regen,7.8,147.5,No,No,Yes,No,Below_median,Above_median
St_Catherines_A3,3022.0,656.0,2781.0,92.0,1594.0,178.0,314.0,1298.0,143.0,83.0,68.0,0.0,0.0,0.0,64.0,21.0,3.0,119.0,67.0,176.0,0.0,149.0,6.0,13.0,85.0,0.0,0.0,6.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16;nan,1994,27,SU4812327449,"51.044386, -1.3149275",Green_hay_bush,7.63,222.0,Yes,Yes,Yes,No,Below_median,Above_median
HARLEY_FARMS_Chittern,3602.0,1252.0,2879.0,335.0,679.0,490.0,532.0,353.0,85.0,134.0,93.0,8.0,25.0,25.0,46.0,118.0,1.0,52.0,74.0,2.0,0.0,66.0,2.0,48.0,1.0,3.0,0.0,1.0,43.0,5.0,0.0,5.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17;nan,2013,8,ST9762044730,"51.201778, -2.0354461",seed_mix,7.77,197.9,Yes,Yes,No,Yes,Below_median,Below_median
HARLEY_FARMS_New1,1332.0,520.0,4955.0,343.0,370.0,1220.0,333.0,206.0,138.0,796.0,196.0,20.0,33.0,58.0,18.0,126.0,5.0,203.0,2.0,0.0,0.0,47.0,7.0,26.0,3.0,0.0,2.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18;nan,2020,1,ST9346829822,"51.067692, -2.0945983",seed_mix,7.84,144.1,No,Yes,No,No,Below_median,Below_median
HARLEY_FARMS_new2b,773.0,203.0,4546.0,1554.0,607.0,202.0,501.0,455.0,24.0,1325.0,142.0,21.0,4.0,172.0,118.0,62.0,3.0,204.0,0.0,0.0,0.0,8.0,29.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19;nan,2020,1,ST9242629613,"51.065799, -2.1094648",seed_mix,7.09,102.5,Yes,No,No,No,Below_median,Below_median
WINDMILL_farm,1034.0,1075.0,3574.0,567.0,1529.0,274.0,569.0,600.0,200.0,207.0,54.0,25.0,6.0,5.0,329.0,237.0,16.0,394.0,4.0,25.0,0.0,30.0,34.0,107.0,12.0,0.0,0.0,2.0,17.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1990,31,SU7176229761,"51.06271, -0.97732036",seed_mix,7.32,210.0,Yes,Yes,Yes,Yes,Below_median,Above_median
