index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis,k__Fungi;p__Ascomycota;__,k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,Unassigned;__;__,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporea,k__Fungi;p__Ascomycota;c__GS35,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Zoopagomycota;c__Zoopagomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Sareomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycota_cls_Incertae_sedis,k__Fungi;p__Chytridiomycota;c__Lobulomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Kickxellomycota;c__Ramicandelaberomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Monoblepharomycota;c__Hyaloraphidiomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Chytridiomycota;c__GS14,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes,k__Fungi;p__Blastocladiomycota;c__Physodermatomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Stramenopila;p__Ochrophyta;c__Bacillariophyceae,k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Sanchytriomycota;c__Sanchytriomycetes,k__Metazoa;p__Chordata;c__Actinopterygii,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycota_cls_Incertae_sedis,k__Fungi;p__Monoblepharomycota;__,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycota_cls_Incertae_sedis,k__Viridiplantae;__;__,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporia_cls_Incertae_sedis,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,pH_category,Age_category
DRUIDS,1196.0,1761.0,4031.0,214.0,1170.0,810.0,365.0,729.0,124.0,267.0,65.0,4.0,9.0,19.0,35.0,99.0,4.0,25.0,0.0,0.0,0.0,11.0,0.0,17.0,0.0,2.0,0.0,0.0,4.0,33.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21;nan,2002,19,SU2964250324,"51.251319, -1.5766624",seed_mix,7.14,176.3,Yes,Yes,Yes,Yes,Below_median,Above_median
Stratton_Wood,665.0,408.0,1807.0,631.0,3029.0,1388.0,1219.0,512.0,168.0,464.0,166.0,123.0,190.0,0.0,17.0,60.0,9.0,21.0,5.0,0.0,0.0,50.0,2.0,23.0,7.0,0.0,4.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22;nan,1995,26,SU1647289260,"51.601942, -1.7635665",seed_mix,7.41,126.8,Yes,No,No,Yes,Below_median,Above_median
WESTMEAD_FARM,1780.0,484.0,1855.0,148.0,2370.0,704.0,1197.0,319.0,691.0,856.0,26.0,13.0,79.0,7.0,12.0,59.0,0.0,212.0,63.0,0.0,0.0,43.0,0.0,6.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23;nan,2000,21,SU6317525168,"51.022422, -1.1006408",seed_mix,7.75,159.0,Yes,No,Yes,No,Below_median,Above_median
RSPB_orig_green,3049.0,734.0,1549.0,360.0,1176.0,1165.0,1491.0,152.0,726.0,124.0,158.0,0.0,71.0,35.0,13.0,0.0,0.0,66.0,20.0,0.0,0.0,17.0,42.0,4.0,0.0,9.0,3.0,0.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24;nan,2006,15,SU2135640329,"51.161815, -1.6959767",Green_hay_bush,7.99,138.1,No,Yes,Yes,No,Above_median,Above_median
RSPB_churchil,3420.0,949.0,1613.0,317.0,1003.0,860.0,1109.0,178.0,563.0,89.0,222.0,0.0,66.0,53.0,34.0,99.0,2.0,198.0,45.0,15.0,0.0,29.0,17.0,49.0,6.0,0.0,5.0,11.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25;nan,2010,11,SU2075340336,"51.1619, -1.7045994",Green_hay_bush,8.01,116.8,No,No,Yes,No,Above_median,Below_median
RSPB_junction,1626.0,379.0,2063.0,467.0,2146.0,561.0,1770.0,437.0,845.0,158.0,84.0,0.0,12.0,4.0,38.0,73.0,0.0,55.0,111.0,0.0,0.0,90.0,10.0,12.0,14.0,14.0,0.0,0.0,24.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26;nan,2007,14,SU2267739280,"51.152332, -1.6771517",Green_hay_bush,8.41,24.6,No,No,Yes,No,Above_median,Below_median
RSPB_Mainline,4367.0,188.0,2522.0,193.0,1301.0,226.0,703.0,231.0,360.0,153.0,103.0,8.0,129.0,1.0,8.0,180.0,4.0,93.0,4.0,0.0,0.0,89.0,78.0,21.0,0.0,7.0,0.0,0.0,10.0,13.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27;nan,2016,5,SU2250539212,"51.151728, -1.6796151",Green_hay_bush,8.48,23.4,No,No,Yes,No,Above_median,Below_median
Baltic_farm_1,917.0,781.0,4573.0,151.0,944.0,1199.0,1601.0,72.0,41.0,44.0,266.0,0.0,0.0,62.0,23.0,96.0,0.0,151.0,60.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28;nan,2005,16,SU0459767825,"51.40943, -1.9352946",Green_hay_bush,7.94,29.2,Yes,Yes,Yes,No,Above_median,Above_median
Baltic_farm_2,6650.0,340.0,421.0,331.0,1582.0,688.0,322.0,0.0,69.0,106.0,45.0,0.0,6.0,56.0,4.0,19.0,0.0,5.0,0.0,0.0,112.0,167.0,0.0,6.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29;nan,1998,23,SU0306867167,"51.403524, -1.9572835",Green_hay_bush,8.27,29.6,Yes,Yes,Yes,No,Above_median,Above_median
WestEndFarm,6342.0,164.0,1898.0,282.0,967.0,301.0,274.0,85.0,0.0,227.0,115.0,47.0,20.0,9.0,0.0,72.0,0.0,33.0,0.0,0.0,17.0,0.0,50.0,17.0,6.0,13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30;nan,2019,2,SU0297366901,"51.401133, -1.9586514",Green_hay_bush,8.44,24.1,Yes,No,Yes,Yes,Above_median,Below_median
HorntonHouseFarm_1_parallel,3678.0,1212.0,2109.0,459.0,1621.0,745.0,239.0,67.0,37.0,118.0,60.0,119.0,28.0,167.0,0.0,115.0,0.0,7.0,0.0,6.0,0.0,69.0,59.0,2.0,0.0,0.0,69.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31;nan,2016,5,SU0584565118,"51.385079, -1.917395",seed_mix,8.6,29.5,Yes,Yes,Yes,No,Above_median,Below_median
TownsendFarm_1,3305.0,1468.0,2110.0,425.0,1520.0,456.0,424.0,105.0,125.0,148.0,56.0,20.0,51.0,80.0,173.0,118.0,11.0,81.0,68.0,1.0,0.0,28.0,52.0,11.0,82.0,5.0,0.0,0.0,20.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32;nan,2017,4,SU0775065316,"51.386837, -1.8900159",seed_mix,8.2,36.6,Yes,No,Yes,No,Above_median,Below_median
TownsendFarm_2,4154.0,2296.0,687.0,417.0,1112.0,746.0,399.0,121.0,169.0,0.0,20.0,18.0,0.0,10.0,11.0,103.0,100.0,13.0,98.0,13.0,20.0,425.0,6.0,34.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33;nan,2010,11,SU0705164722,"51.381505, -1.9000725",seed_mix,8.45,21.2,Yes,No,Yes,No,Above_median,Below_median
TownsendFarm_3_big,3390.0,1704.0,2480.0,177.0,1056.0,463.0,412.0,152.0,62.0,286.0,42.0,0.0,8.0,1.0,323.0,106.0,2.0,133.0,26.0,0.0,0.0,19.0,15.0,22.0,8.0,2.0,0.0,18.0,33.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34;nan,2014,7,SU0886965184,"51.385634, -1.8739384",Green_hay_bush,7.92,42.7,Yes,No,Yes,No,Below_median,Below_median
ChurchFarm,1412.0,1046.0,2236.0,80.0,535.0,508.0,458.0,888.0,198.0,184.0,463.0,2509.0,96.0,14.0,18.0,64.0,5.0,62.0,10.0,76.0,0.0,20.0,2.0,13.0,0.0,0.0,6.0,0.0,21.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35;nan,2012,9,SU0979864321,"51.377859, -1.8606121",seed_mix,8.63,20.7,Yes,Yes,Yes,No,Above_median,Below_median
StowellFarms_1_adj,702.0,99.0,2154.0,3543.0,1138.0,264.0,398.0,1390.0,409.0,4.0,6.0,118.0,3.0,0.0,43.0,19.0,0.0,11.0,0.0,523.0,0.0,6.0,72.0,67.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,36;nan,2015,6,SU1362464180,"51.376513, -1.8056466",seed_mix,6.6,21.8,Yes,Yes,Yes,Yes,Below_median,Below_median
MannorFmAltonBarnes,918.0,996.0,2859.0,323.0,599.0,446.0,1188.0,348.0,1234.0,118.0,371.0,218.0,68.0,441.0,71.0,86.0,14.0,114.0,62.0,29.0,2.0,211.0,29.0,35.0,7.0,4.0,13.0,43.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,9.0,8.0,3.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,nan,2012,9,SU1211561331,"51.35093, -1.827423",seed_mix,8.07,21.6,Yes,Yes,Yes,No,Above_median,Below_median
HommingtonFarm,1259.0,213.0,1130.0,191.0,1557.0,374.0,1464.0,152.0,4218.0,77.0,87.0,0.0,0.0,52.0,0.0,22.0,0.0,27.0,107.0,2.0,0.0,36.0,14.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38;nan,2014,7,SU1332825982,"51.033048, -1.811306",seed_mix,8.22,26.3,Yes,Yes,Yes,Yes,Above_median,Below_median
ThropeManor_1,680.0,1929.0,3573.0,877.0,485.0,355.0,429.0,898.0,343.0,132.0,40.0,2.0,11.0,22.0,762.0,57.0,13.0,64.0,19.0,26.0,0.0,65.0,15.0,98.0,0.0,0.0,5.0,0.0,7.0,29.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39;nan,2002,19,SU0886123850,"51.013962, -1.8750607",seed_mix,7.54,78.1,Yes,No,Yes,No,Below_median,Above_median
ThropeManor_2,1365.0,854.0,2558.0,648.0,2122.0,497.0,585.0,904.0,924.0,197.0,21.0,6.0,8.0,36.0,55.0,15.0,8.0,23.0,18.0,79.0,0.0,18.0,31.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40;nan,1998,23,SU0843924348,"51.018447, -1.8810649",seed_mix,7.73,28.8,Yes,No,Yes,Yes,Below_median,Above_median
ThropeManor_3,2215.0,1361.0,2052.0,763.0,2166.0,471.0,602.0,309.0,125.0,208.0,59.0,10.0,5.0,14.0,87.0,47.0,0.0,72.0,316.0,0.0,0.0,22.0,10.0,0.0,2.0,36.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41;nan,2000,21,SU0901525189,"51.026001, -1.8728325",seed_mix,8.13,28.5,Yes,No,Yes,No,Above_median,Above_median
MannorFmBroadChalke,1260.0,847.0,1806.0,543.0,1851.0,502.0,1177.0,351.0,1635.0,176.0,74.0,5.0,78.0,323.0,91.0,94.0,0.0,62.0,0.0,2.0,0.0,11.0,3.0,33.0,43.0,6.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42;nan,2010,11,SU0468023121,"51.007455, -1.9346701",Green_hay_bush,8.24,24.3,No,No,Yes,No,Above_median,Below_median
BigleyFm_1,5442.0,558.0,1384.0,403.0,944.0,592.0,195.0,529.0,432.0,102.0,74.0,0.0,31.0,10.0,102.0,11.0,1.0,22.0,75.0,35.0,0.0,1.0,0.0,16.0,2.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43;nan,2014,7,ST9798720966,"50.988091, -2.0300532",seed_mix,8.1,31.3,Yes,Yes,Yes,Yes,Above_median,Below_median
BigleyFm_2,1035.0,1485.0,2671.0,654.0,1696.0,705.0,337.0,579.0,1077.0,140.0,31.0,3.0,4.0,41.0,308.0,21.0,21.0,27.0,37.0,0.0,0.0,7.0,33.0,22.0,2.0,4.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44;nan,2017,4,ST9796821801,"50.9956, -2.0303288",seed_mix,7.35,46.8,Yes,Yes,Yes,Yes,Below_median,Below_median
NorringtonMannorFm_1,5053.0,1797.0,1575.0,151.0,584.0,662.0,303.0,89.0,168.0,125.0,90.0,6.0,2.0,11.0,28.0,85.0,5.0,50.0,63.0,0.0,0.0,45.0,6.0,40.0,4.0,4.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45;nan,2009,12,ST9689721419,"50.99216, -2.0455866",seed_mix,7.83,33.5,No,No,Yes,Yes,Below_median,Below_median
NorringtonMannorFm_2,1290.0,468.0,1516.0,145.0,1283.0,894.0,2398.0,960.0,1344.0,244.0,42.0,0.0,53.0,8.0,17.0,46.0,0.0,58.0,8.0,1.0,0.0,21.0,0.0,34.0,30.0,4.0,3.0,13.0,8.0,0.0,17.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46;nan,2009,12,ST9699420390,"50.982907, -2.0441957",seed_mix,8.2,28.5,No,No,Yes,No,Above_median,Below_median
ManorFmBerwickStJohn_1,1082.0,973.0,2493.0,831.0,1620.0,203.0,931.0,1032.0,1187.0,263.0,35.0,2.0,9.0,2.0,127.0,67.0,2.0,13.0,7.0,5.0,0.0,32.0,12.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47;nan,2014,7,ST9468023123,"51.007466, -2.0772007",seed_mix,7.47,17.83,Yes,Yes,Yes,No,Below_median,Below_median
ManorFmBerwickStJohn_3,1352.0,1008.0,2309.0,829.0,1902.0,750.0,353.0,693.0,1251.0,108.0,36.0,4.0,0.0,37.0,226.0,17.0,0.0,33.0,19.0,0.0,0.0,9.0,21.0,8.0,0.0,2.0,0.0,1.0,14.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48;nan,2018,3,ST9422022841,"51.004926, -2.0837525",seed_mix,8.36,23.0,Yes,Yes,Yes,No,Above_median,Below_median
Jemma_1,3158.0,147.0,884.0,254.0,1695.0,1969.0,533.0,163.0,162.0,964.0,566.0,0.0,68.0,1.0,5.0,138.0,8.0,27.0,7.0,0.0,0.0,12.0,22.0,10.0,75.0,0.0,6.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49;nan,2010,11,SU1405276456,"51.486882, -1.7990143",Green_hay_bush,8.31,33.5,Yes,Yes,Yes,No,Above_median,Below_median
