index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Mortierellomycota,k__Fungi;__,k__Fungi;p__Fungi_phy_Incertae_sedis,k__Fungi;p__Zoopagomycota,k__Rhizaria;p__Cercozoa,k__Fungi;p__Rozellomycota,Unassigned;__,k__Fungi;p__Chytridiomycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Olpidiomycota,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis,k__Fungi;p__Monoblepharomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mucoromycota,k__Stramenopila;p__Ochrophyta,k__Viridiplantae;p__Anthophyta,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Sanchytriomycota,k__Metazoa;p__Chordata,k__Fungi;p__Basidiobolomycota,k__Viridiplantae;__,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,pH_category,Age_category
Watlington_natural_reversion,3460.0,3384.0,717.0,2322.0,290.0,35.0,256.0,165.0,11.0,197.0,47.0,111.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15;nan,2000,21,SU7050293600,"51.636798, -0.98266944",Natural_regen,7.8,147.5,No,No,Yes,No,Below_median,Above_median
St_Catherines_A3,3022.0,5377.0,245.0,1594.0,178.0,83.0,68.0,64.0,83.0,149.0,22.0,91.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16;nan,1994,27,SU4812327449,"51.044386, -1.3149275",Green_hay_bush,7.63,222.0,Yes,Yes,Yes,No,Below_median,Above_median
HARLEY_FARMS_Chittern,3602.0,5272.0,424.0,679.0,490.0,134.0,93.0,46.0,117.0,66.0,59.0,3.0,0.0,5.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17;nan,2013,8,ST9762044730,"51.201778, -2.0354461",seed_mix,7.77,197.9,Yes,Yes,No,Yes,Below_median,Below_median
HARLEY_FARMS_New1,1332.0,6466.0,504.0,370.0,1220.0,796.0,196.0,18.0,11.0,47.0,33.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18;nan,2020,1,ST9346829822,"51.067692, -2.0945983",seed_mix,7.84,144.1,No,Yes,No,No,Below_median,Below_median
HARLEY_FARMS_new2b,773.0,6170.0,1617.0,607.0,202.0,1325.0,142.0,118.0,3.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19;nan,2020,1,ST9242629613,"51.065799, -2.1094648",seed_mix,7.09,102.5,Yes,No,No,No,Below_median,Below_median
WINDMILL_farm,1034.0,6512.0,817.0,1529.0,274.0,207.0,54.0,329.0,21.0,30.0,114.0,18.0,0.0,56.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1990,31,SU7176229761,"51.06271, -0.97732036",seed_mix,7.32,210.0,Yes,Yes,Yes,Yes,Below_median,Above_median
DRUIDS,1196.0,7044.0,342.0,1170.0,810.0,267.0,65.0,35.0,4.0,11.0,22.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21;nan,2002,19,SU2964250324,"51.251319, -1.5766624",seed_mix,7.14,176.3,Yes,Yes,Yes,Yes,Below_median,Above_median
Stratton_Wood,665.0,4341.0,811.0,3029.0,1388.0,464.0,166.0,17.0,28.0,50.0,23.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22;nan,1995,26,SU1647289260,"51.601942, -1.7635665",seed_mix,7.41,126.8,Yes,No,No,Yes,Below_median,Above_median
WESTMEAD_FARM,1780.0,4271.0,839.0,2370.0,704.0,856.0,26.0,12.0,63.0,43.0,6.0,0.0,16.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23;nan,2000,21,SU6317525168,"51.022422, -1.1006408",seed_mix,7.75,159.0,Yes,No,Yes,No,Below_median,Above_median
RSPB_orig_green,3049.0,4107.0,1128.0,1176.0,1165.0,124.0,158.0,13.0,53.0,17.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24;nan,2006,15,SU2135640329,"51.161815, -1.6959767",Green_hay_bush,7.99,138.1,No,Yes,Yes,No,Above_median,Above_median
