sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
GP456	63206	57573	91.09	48122	21013	33.25	16495	26.1
GP457	63713	61174	96.01	52805	26535	41.65	21584	33.88
GP460	74966	71281	95.08	71129	68679	91.61	67830	90.48
GP461	72194	55919	77.46	46344	16314	22.6	13974	19.36
GP462	36015	32737	90.9	26562	11228	31.18	9340	25.93
GP463	64607	58667	90.81	48158	19202	29.72	15412	23.86
GP464	66705	60669	90.95	48852	19555	29.32	15766	23.64
GP465	62700	54670	87.19	51208	42810	68.28	41369	65.98
GP466	63997	55205	86.26	52111	43823	68.48	42071	65.74
GP467	64595	58509	90.58	50123	25918	40.12	17102	26.48
GP468	62978	57016	90.53	48881	24017	38.14	16044	25.48
GP469	66779	61031	91.39	52339	26653	39.91	18682	27.98
GP470	66457	50279	75.66	44412	23565	35.46	15143	22.79
GP471	63116	57600	91.26	47992	20755	32.88	16717	26.49
GP472	79367	72095	90.84	60222	25049	31.56	19283	24.3
GP473	51635	47321	91.65	40082	18613	36.05	14872	28.8
GP474	54733	50066	91.47	42258	20381	37.24	16221	29.64
GP475	83957	67103	79.93	56840	23433	27.91	17953	21.38
