site_code/Field No.	Site	plot_number	CU Code	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
	Stonehenge_2007_2016	Q7	CU0188	2007	14	SU1100041900	"51.176233, -1.8440251"	Green_hay/bush	7.87	158.8	0	1	1	1
	Stonehenge_2007_2016	Q10	CU0189	2007	14	SU1100041900	"51.176233, -1.8440251"	Green_hay/bush	7.87	158.8	0	1	1	1
	Stonehenge_2007_2016	Q13	CU0190	2007	14	SU1100041900	"51.176233, -1.8440251"	Green_hay/bush	7.87	158.8	0	1	1	1
10	Stonehenge_2005	Q1	CU0191	2005	16	SU1140042200	"51.178922, -1.8382937"	Green_hay/bush	7.85	145	0	0	1	1
	Stonehenge_2005	Q4	CU0192	2005	16	SU1140042200	"51.178922, -1.8382937"	Green_hay/bush	7.85	145	0	0	1	1
	Stonehenge_2005	Q7	CU0193	2005	16	SU1140042200	"51.178922, -1.8382937"	Green_hay/bush	7.85	145	0	0	1	1
	Stonehenge_2005	Q10	CU0194	2005	16	SU1140042200	"51.178922, -1.8382937"	Green_hay/bush	7.85	145	0	0	1	1
	Stonehenge_2005	Q13	CU0195	2005	16	SU1140042200	"51.178922, -1.8382937"	Green_hay/bush	7.85	145	0	0	1	1
11	Stonehenge_2002_2017	Q1	CU0196	2002	19	SU1480043200	"51.187837, -1.7896132"	Green_hay/bush	7.91	130.3	0	1	1	1
	Stonehenge_2002_2017	Q4	CU0197	2002	19	SU1480043200	"51.187837, -1.7896132"	Green_hay/bush	7.91	130.3	0	1	1	1
	Stonehenge_2002_2017	Q7	CU0198	2002	19	SU1480043200	"51.187837, -1.7896132"	Green_hay/bush	7.91	130.3	0	1	1	1
	Stonehenge_2002_2017	Q10	CU0199	2002	19	SU1480043200	"51.187837, -1.7896132"	Green_hay/bush	7.91	130.3	0	1	1	1
	Stonehenge_2002_2017	Q13	CU0200	2002	19	SU1480043200	"51.187837, -1.7896132"	Green_hay/bush	7.91	130.3	0	1	1	1
12	Stonehenge_2010	Q1	CU0201	2010	11	SU1070043000	"51.186129, -1.8482842"	Green_hay/bush	7.69	202	0	1	1	1
	Stonehenge_2010	Q4	CU0202	2010	11	SU1070043000	"51.186129, -1.8482842"	Green_hay/bush	7.69	202	0	1	1	1
	Stonehenge_2010	Q7	CU0203	2010	11	SU1070043000	"51.186129, -1.8482842"	Green_hay/bush	7.69	202	0	1	1	1
	Stonehenge_2010	Q10	CU0204	2010	11	SU1070043000	"51.186129, -1.8482842"	Green_hay/bush	7.69	202	0	1	1	1
	Stonehenge_2010	Q13	CU0205	2010	11	SU1070043000	"51.186129, -1.8482842"	Green_hay/bush	7.69	202	0	1	1	1
13	Stonehenge_2011	Q1	CU0206	2011	10	SU1050043600	"51.191528, -1.8511284"	Green_hay/bush	7.85	174.3	0	1	1	1
	Stonehenge_2011	Q4	CU0207	2011	10	SU1050043600	"51.191528, -1.8511284"	Green_hay/bush	7.85	174.3	0	1	1	1
	Stonehenge_2011	Q7	CU0208	2011	10	SU1050043600	"51.191528, -1.8511284"	Green_hay/bush	7.85	174.3	0	1	1	1
	Stonehenge_2011	Q10	CU0209	2011	10	SU1050043600	"51.191528, -1.8511284"	Green_hay/bush	7.85	174.3	0	1	1	1
	Stonehenge_2011	Q13	CU0210	2011	10	SU1050043600	"51.191528, -1.8511284"	Green_hay/bush	7.85	174.3	0	1	1	1
14	Stonehenge_-_Luxenborough_BankB	Q1	CU0211	2000	21	SU1290041900	"51.176193, -1.8168457"	Green_hay/bush	7.78	186.6	1	0	1	1
