site_code/Field No.	Site	plot_number	CU Code	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
	HommingtonFarm	Q13	CU0335	2014	7	SU1332825982	"51.033048, -1.811306"	seed_mix	8.22	26.3	1	1	1	1
39	ThropeManor_1	Q1	CU0336	2002	19	SU0886123850	"51.013962, -1.8750607"	seed_mix	7.54	78.1	1	0	1	0
	ThropeManor_1	Q4	CU0337	2002	19	SU0886123850	"51.013962, -1.8750607"	seed_mix	7.54	78.1	1	0	1	0
	ThropeManor_1	Q7	CU0338	2002	19	SU0886123850	"51.013962, -1.8750607"	seed_mix	7.54	78.1	1	0	1	0
	ThropeManor_1	Q10	CU0339	2002	19	SU0886123850	"51.013962, -1.8750607"	seed_mix	7.54	78.1	1	0	1	0
	ThropeManor_1	Q13	CU0340	2002	19	SU0886123850	"51.013962, -1.8750607"	seed_mix	7.54	78.1	1	0	1	0
40	ThropeManor_2	Q1	CU0341	1998	23	SU0843924348	"51.018447, -1.8810649"	seed_mix	7.73	28.8	1	0	1	1
	ThropeManor_2	Q4	CU0342	1998	23	SU0843924348	"51.018447, -1.8810649"	seed_mix	7.73	28.8	1	0	1	1
	ThropeManor_2	Q7	CU0343	1998	23	SU0843924348	"51.018447, -1.8810649"	seed_mix	7.73	28.8	1	0	1	1
	ThropeManor_2	Q10	CU0344	1998	23	SU0843924348	"51.018447, -1.8810649"	seed_mix	7.73	28.8	1	0	1	1
	ThropeManor_2	Q13	CU0345	1998	23	SU0843924348	"51.018447, -1.8810649"	seed_mix	7.73	28.8	1	0	1	1
41	ThropeManor_3	Q1	CU0346	2000	21	SU0901525189	"51.026001, -1.8728325"	seed_mix	8.13	28.5	1	0	1	0
	ThropeManor_3	Q4	CU0347	2000	21	SU0901525189	"51.026001, -1.8728325"	seed_mix	8.13	28.5	1	0	1	0
	ThropeManor_3	Q7	CU0348	2000	21	SU0901525189	"51.026001, -1.8728325"	seed_mix	8.13	28.5	1	0	1	0
	ThropeManor_3	Q10	CU0349	2000	21	SU0901525189	"51.026001, -1.8728325"	seed_mix	8.13	28.5	1	0	1	0
	ThropeManor_3	Q13	CU0350	2000	21	SU0901525189	"51.026001, -1.8728325"	seed_mix	8.13	28.5	1	0	1	0
42	MannorFmBroadChalke	Q1	CU0351	2010	11	SU0468023121	"51.007455, -1.9346701"	Green_hay/bush	8.24	24.3	0	0	1	0
	MannorFmBroadChalke	Q4	CU0352	2010	11	SU0468023121	"51.007455, -1.9346701"	Green_hay/bush	8.24	24.3	0	0	1	0
	MannorFmBroadChalke	Q7	CU0353	2010	11	SU0468023121	"51.007455, -1.9346701"	Green_hay/bush	8.24	24.3	0	0	1	0
	MannorFmBroadChalke	Q10	CU0354	2010	11	SU0468023121	"51.007455, -1.9346701"	Green_hay/bush	8.24	24.3	0	0	1	0
	MannorFmBroadChalke	Q13	CU0355	2010	11	SU0468023121	"51.007455, -1.9346701"	Green_hay/bush	8.24	24.3	0	0	1	0
43	BigleyFm_1	Q1	CU0356	2014	7	ST9798720966	"50.988091, -2.0300532"	seed_mix	8.1	31.3	1	1	1	1
	BigleyFm_1	Q4	CU0357	2014	7	ST9798720966	"50.988091, -2.0300532"	seed_mix	8.1	31.3	1	1	1	1
	BigleyFm_1	Q7	CU0358	2014	7	ST9798720966	"50.988091, -2.0300532"	seed_mix	8.1	31.3	1	1	1	1
	BigleyFm_1	Q10	CU0359	2014	7	ST9798720966	"50.988091, -2.0300532"	seed_mix	8.1	31.3	1	1	1	1
	BigleyFm_1	Q13	CU0360	2014	7	ST9798720966	"50.988091, -2.0300532"	seed_mix	8.1	31.3	1	1	1	1
44	BigleyFm_2	Q1	CU0361	2017	4	ST9796821801	"50.9956, -2.0303288"	seed_mix	7.35	46.8	1	1	1	1
	BigleyFm_2	Q4	CU0362	2017	4	ST9796821801	"50.9956, -2.0303288"	seed_mix	7.35	46.8	1	1	1	1
	BigleyFm_2	Q7	CU0363	2017	4	ST9796821801	"50.9956, -2.0303288"	seed_mix	7.35	46.8	1	1	1	1
	BigleyFm_2	Q10	CU0364	2017	4	ST9796821801	"50.9956, -2.0303288"	seed_mix	7.35	46.8	1	1	1	1
	BigleyFm_2	Q13	CU0365	2017	4	ST9796821801	"50.9956, -2.0303288"	seed_mix	7.35	46.8	1	1	1	1
45	NorringtonMannorFm_1	Q1	CU0366	2009	12	ST9689721419	"50.99216, -2.0455866"	seed_mix	7.83	33.5	0	0	1	1
	NorringtonMannorFm_1	Q4	CU0367	2009	12	ST9689721419	"50.99216, -2.0455866"	seed_mix	7.83	33.5	0	0	1	1
	NorringtonMannorFm_1	Q7	CU0368	2009	12	ST9689721419	"50.99216, -2.0455866"	seed_mix	7.83	33.5	0	0	1	1
	NorringtonMannorFm_1	Q10	CU0369	2009	12	ST9689721419	"50.99216, -2.0455866"	seed_mix	7.83	33.5	0	0	1	1
	NorringtonMannorFm_1	Q13	CU0370	2009	12	ST9689721419	"50.99216, -2.0455866"	seed_mix	7.83	33.5	0	0	1	1
46	NorringtonMannorFm_2	Q1	CU0371	2009	12	ST9699420390	"50.982907, -2.0441957"	seed_mix	8.2	28.5	0	0	1	0
	NorringtonMannorFm_2	Q4	CU0372	2009	12	ST9699420390	"50.982907, -2.0441957"	seed_mix	8.2	28.5	0	0	1	0
	NorringtonMannorFm_2	Q7	CU0373	2009	12	ST9699420390	"50.982907, -2.0441957"	seed_mix	8.2	28.5	0	0	1	0
	NorringtonMannorFm_2	Q10	CU0374	2009	12	ST9699420390	"50.982907, -2.0441957"	seed_mix	8.2	28.5	0	0	1	0
	NorringtonMannorFm_2	Q13	CU0375	2009	12	ST9699420390	"50.982907, -2.0441957"	seed_mix	8.2	28.5	0	0	1	0
47	ManorFmBerwickStJohn_1	Q1	CU0376	2014	7	ST9468023123	"51.007466, -2.0772007"	seed_mix	7.47	17.83	1	1	1	0
	ManorFmBerwickStJohn_1	Q4	CU0377	2014	7	ST9468023123	"51.007466, -2.0772007"	seed_mix	7.47	17.83	1	1	1	0
	ManorFmBerwickStJohn_1	Q7	CU0378	2014	7	ST9468023123	"51.007466, -2.0772007"	seed_mix	7.47	17.83	1	1	1	0
	ManorFmBerwickStJohn_1	Q10	CU0379	2014	7	ST9468023123	"51.007466, -2.0772007"	seed_mix	7.47	17.83	1	1	1	0
	ManorFmBerwickStJohn_1	Q13	CU0380	2014	7	ST9468023123	"51.007466, -2.0772007"	seed_mix	7.47	17.83	1	1	1	0
48	ManorFmBerwickStJohn_3	Q1	CU0381	2018	3	ST9422022841	"51.004926, -2.0837525"	seed_mix	8.36	23	1	1	1	0
	ManorFmBerwickStJohn_3	Q4	CU0382	2018	3	ST9422022841	"51.004926, -2.0837525"	seed_mix	8.36	23	1	1	1	0
	ManorFmBerwickStJohn_3	Q7	CU0383	2018	3	ST9422022841	"51.004926, -2.0837525"	seed_mix	8.36	23	1	1	1	0
	ManorFmBerwickStJohn_3	Q10	CU0384	2018	3	ST9422022841	"51.004926, -2.0837525"	seed_mix	8.36	23	1	1	1	0
	ManorFmBerwickStJohn_3	Q13	CU0385	2018	3	ST9422022841	"51.004926, -2.0837525"	seed_mix	8.36	23	1	1	1	0
49	Jemma_1	Q1	CU0386	2010	11	SU1405276456	"51.486882, -1.7990143"	Green_hay/bush	8.31	33.5	1	1	1	0
	Jemma_1	Q4	CU0387	2010	11	SU1405276456	"51.486882, -1.7990143"	Green_hay/bush	8.31	33.5	1	1	1	0
	Jemma_1	Q7	CU0388	2010	11	SU1405276456	"51.486882, -1.7990143"	Green_hay/bush	8.31	33.5	1	1	1	0
	Jemma_1	Q10	CU0389	2010	11	SU1405276456	"51.486882, -1.7990143"	Green_hay/bush	8.31	33.5	1	1	1	0
	Jemma_1	Q13	CU0390	2010	11	SU1405276456	"51.486882, -1.7990143"	Green_hay/bush	8.31	33.5	1	1	1	0
50	Jemma_2	Q1	CU0391	2008	13	SU1194873670	"51.46188, -1.8294093"	Natural_regen	7.96	104.2	0	1	0	0
	Jemma_2	Q4	CU0392	2008	13	SU1194873670	"51.46188, -1.8294093"	Natural_regen	7.96	104.2	0	1	0	0
	Jemma_2	Q7	CU0393	2008	13	SU1194873670	"51.46188, -1.8294093"	Natural_regen	7.96	104.2	0	1	0	0
	Jemma_2	Q10	CU0394	2008	13	SU1194873670	"51.46188, -1.8294093"	Natural_regen	7.96	104.2	0	1	0	0
	Jemma_2	Q13	CU0395	2008	13	SU1194873670	"51.46188, -1.8294093"	Natural_regen	7.96	104.2	0	1	0	0
51	Jemma_7	Q1	CU0396	2014	7	SU1641473039	"51.456096, -1.7651546"	Green_hay/bush	7.95	106.1	0	0	1	1
	Jemma_7	Q4	CU0397	2014	7	SU1641473039	"51.456096, -1.7651546"	Green_hay/bush	7.95	106.1	0	0	1	1
	Jemma_7	Q7	CU0398	2014	7	SU1641473039	"51.456096, -1.7651546"	Green_hay/bush	7.95	106.1	0	0	1	1
	Jemma_7	Q10	CU0399	2014	7	SU1641473039	"51.456096, -1.7651546"	Green_hay/bush	7.95	106.1	0	0	1	1
	Jemma_7	Q13	CU0400	2014	7	SU1641473039	"51.456096, -1.7651546"	Green_hay/bush	7.95	106.1	0	0	1	1
52	Jemma_4	Q1	CU0401	2015	6	SU1261971802	"51.44507, -1.8198169"	Green_hay/bush	7.31	145.8	1	1	1	0
	Jemma_4	Q4	CU0402	2015	6	SU1261971802	"51.44507, -1.8198169"	Green_hay/bush	7.31	145.8	1	1	1	0
	Jemma_4	Q7	CU0403	2015	6	SU1261971802	"51.44507, -1.8198169"	Green_hay/bush	7.31	145.8	1	1	1	0
	Jemma_4	Q10	CU0404	2015	6	SU1261971802	"51.44507, -1.8198169"	Green_hay/bush	7.31	145.8	1	1	1	0
	Jemma_4	Q13	CU0405	2015	6	SU1261971802	"51.44507, -1.8198169"	Green_hay/bush	7.31	145.8	1	1	1	0
53	Jemma_5	Q1	CU0406	2015	6	SU1538172691	"51.452995, -1.7800368"	seed_mix	8.2	77.7	1	0	1	0
	Jemma_5	Q4	CU0407	2015	6	SU1538172691	"51.452995, -1.7800368"	seed_mix	8.2	77.7	1	0	1	0
	Jemma_5	Q7	CU0408	2015	6	SU1538172691	"51.452995, -1.7800368"	seed_mix	8.2	77.7	1	0	1	0
	Jemma_5	Q10	CU0409	2015	6	SU1538172691	"51.452995, -1.7800368"	seed_mix	8.2	77.7	1	0	1	0
	Jemma_5	Q13	CU0410	2015	6	SU1538172691	"51.452995, -1.7800368"	seed_mix	8.2	77.7	1	0	1	0
54	Jemma_6	Q1	CU0411	2013	8	SU1560872573	"51.451928, -1.7767752"	seed_mix	8.54	66.9	1	0	1	0
	Jemma_6	Q4	CU0412	2013	8	SU1560872573	"51.451928, -1.7767752"	seed_mix	8.54	66.9	1	0	1	0
	Jemma_6	Q7	CU0413	2013	8	SU1560872573	"51.451928, -1.7767752"	seed_mix	8.54	66.9	1	0	1	0
	Jemma_6	Q10	CU0414	2013	8	SU1560872573	"51.451928, -1.7767752"	seed_mix	8.54	66.9	1	0	1	0
	Jemma_6	Q13	CU0415	2013	8	SU1560872573	"51.451928, -1.7767752"	seed_mix	8.54	66.9	1	0	1	0
55	Jemma_9	Q1	CU0416	2015	6	SU1669072674	"51.452806, -1.7611995"	seed_mix	8.22	104.9	1	0	1	0
	Jemma_9	Q4	CU0417	2015	6	SU1669072674	"51.452806, -1.7611995"	seed_mix	8.22	104.9	1	0	1	0
	Jemma_9	Q7	CU0418	2015	6	SU1669072674	"51.452806, -1.7611995"	seed_mix	8.22	104.9	1	0	1	0
	Jemma_9	Q10	CU0419	2015	6	SU1669072674	"51.452806, -1.7611995"	seed_mix	8.22	104.9	1	0	1	0
	Jemma_9	Q13	CU0420	2015	6	SU1669072674	"51.452806, -1.7611995"	seed_mix	8.22	104.9	1	0	1	0
56	HomeFarm_WoodlandTrust_Hampshire_good_1c	Q1	CU0421	1994	27	SU6579941829	"51.171925, -1.0602025"	seed_mix	6.62	28.4	0	1	0	0
	HomeFarm_WoodlandTrust_Hampshire_good_1c	Q4	CU0422	1994	27	SU6579941829	"51.171925, -1.0602025"	seed_mix	6.62	28.4	0	1	0	0
	HomeFarm_WoodlandTrust_Hampshire_good_1c	Q7	CU0423	1994	27	SU6579941829	"51.171925, -1.0602025"	seed_mix	6.62	28.4	0	1	0	0
	HomeFarm_WoodlandTrust_Hampshire_good_1c	Q10	CU0424	1994	27	SU6579941829	"51.171925, -1.0602025"	seed_mix	6.62	28.4	0	1	0	0
	HomeFarm_WoodlandTrust_Hampshire_good_1c	Q13	CU0425	1994	27	SU6579941829	"51.171925, -1.0602025"	seed_mix	6.62	28.4	0	1	0	0
57	Crux_easton_70b1	Q1	CU0426	2000	21	SU4192556251	"51.303843, -1.3999827"	seed_mix	7.78	80.7	0	0	1	1
	Crux_easton_70b1	Q4	CU0427	2000	21	SU4192556251	"51.303843, -1.3999827"	seed_mix	7.78	80.7	0	0	1	1
	Crux_easton_70b1	Q7	CU0428	2000	21	SU4192556251	"51.303843, -1.3999827"	seed_mix	7.78	80.7	0	0	1	1
	Crux_easton_70b1	Q10	CU0429	2000	21	SU4192556251	"51.303843, -1.3999827"	seed_mix	7.78	80.7	0	0	1	1
	Crux_easton_70b1	Q13	CU0430	2000	21	SU4192556251	"51.303843, -1.3999827"	seed_mix	7.78	80.7	0	0	1	1
58	Crux_easton_70b2	Q1	CU0431	2002	19	SU4195056550	"51.306529, -1.399589"	seed_mix	8.4	76.3	1	0	1	0
	Crux_easton_70b2	Q4	CU0432	2002	19	SU4195056550	"51.306529, -1.399589"	seed_mix	8.4	76.3	1	0	1	0
	Crux_easton_70b2	Q7	CU0433	2002	19	SU4195056550	"51.306529, -1.399589"	seed_mix	8.4	76.3	1	0	1	0
	Crux_easton_70b2	Q10	CU0434	2002	19	SU4195056550	"51.306529, -1.399589"	seed_mix	8.4	76.3	1	0	1	0
	Crux_easton_70b2	Q13	CU0435	2002	19	SU4195056550	"51.306529, -1.399589"	seed_mix	8.4	76.3	1	0	1	0
59	Martin_Down_arabel_reversion	Q1	CU0436	1957	64	SU0390520162	"50.980853, -1.9457471"	Natural_regen	8.23	115.8	0	0	1	1
	Martin_Down_arabel_reversion	Q4	CU0437	1957	64	SU0390520162	"50.980853, -1.9457471"	Natural_regen	8.23	115.8	0	0	1	1
	Martin_Down_arabel_reversion	Q7	CU0438	1957	64	SU0390520162	"50.980853, -1.9457471"	Natural_regen	8.23	115.8	0	0	1	1
	Martin_Down_arabel_reversion	Q10	CU0439	1957	64	SU0390520162	"50.980853, -1.9457471"	Natural_regen	8.23	115.8	0	0	1	1
	Martin_Down_arabel_reversion	Q13	CU0440	1957	64	SU0390520162	"50.980853, -1.9457471"	Natural_regen	8.23	115.8	0	0	1	1
60	Parsonage_down_reversion	Q1	CU0441	1945	76	SU0610341686	"51.174381, -1.9140803"	Natural_regen	8.12	89.8	0	1	0	1
	Parsonage_down_reversion	Q4	CU0442	1945	76	SU0610341686	"51.174381, -1.9140803"	Natural_regen	8.12	89.8	0	1	0	1
	Parsonage_down_reversion	Q7	CU0443	1945	76	SU0610341686	"51.174381, -1.9140803"	Natural_regen	8.12	89.8	0	1	0	1
	Parsonage_down_reversion	Q10	CU0444	1945	76	SU0610341686	"51.174381, -1.9140803"	Natural_regen	8.12	89.8	0	1	0	1
	Parsonage_down_reversion	Q13	CU0445	1945	76	SU0610341686	"51.174381, -1.9140803"	Natural_regen	8.12	89.8	0	1	0	1
61	TARGET_MartinDown	Q1	CU0446	old	>100	SU0558918665	"50.967378, -1.9217813"	Natural_regen	8.05	104.9	0	0	1	NA
	TARGET_MartinDown	Q4	CU0447	old	>100	SU0558918665	"50.967378, -1.9217813"	Natural_regen	8.05	104.9	0	0	1	NA
	TARGET_MartinDown	Q7	CU0448	old	>100	SU0558918665	"50.967378, -1.9217813"	Natural_regen	8.05	104.9	0	0	1	NA
	TARGET_MartinDown	Q10	CU0449	old	>100	SU0558918665	"50.967378, -1.9217813"	Natural_regen	8.05	104.9	0	0	1	NA
	TARGET_MartinDown	Q13	CU0450	old	>100	SU0558918665	"50.967378, -1.9217813"	Natural_regen	8.05	104.9	0	0	1	NA
62	TARGET_St_Catherines	Q1	CU0451	old	>100	SU4832527522	"51.045025, -1.3120365"	Natural_regen	7.95	184.8	0	0	1	NA
	TARGET_St_Catherines	Q4	CU0452	old	>100	SU4832527522	"51.045025, -1.3120365"	Natural_regen	7.95	184.8	0	0	1	NA
	TARGET_St_Catherines	Q7	CU0453	old	>100	SU4832527522	"51.045025, -1.3120365"	Natural_regen	7.95	184.8	0	0	1	NA
	TARGET_St_Catherines	Q10	CU0454	old	>100	SU4832527522	"51.045025, -1.3120365"	Natural_regen	7.95	184.8	0	0	1	NA
	TARGET_St_Catherines	Q13	CU0455	old	>100	SU4832527522	"51.045025, -1.3120365"	Natural_regen	7.95	184.8	0	0	1	NA
63	TARGET_ParsonageDown	Q1	CU0456	old	>100	SU0552141345	"51.17132, -1.9224106"	Natural_regen	8.06	112.3	0	0	1	NA
	TARGET_ParsonageDown	Q4	CU0457	old	>100	SU0552141345	"51.17132, -1.9224106"	Natural_regen	8.06	112.3	0	0	1	NA
	TARGET_ParsonageDown	Q7	CU0458	old	>100	SU0552141345	"51.17132, -1.9224106"	Natural_regen	8.06	112.3	0	0	1	NA
	TARGET_ParsonageDown	Q10	CU0459	old	>100	SU0552141345	"51.17132, -1.9224106"	Natural_regen	8.06	112.3	0	0	1	NA
	TARGET_ParsonageDown	Q13	CU0460	old	>100	SU0552141345	"51.17132, -1.9224106"	Natural_regen	8.06	112.3	0	0	1	NA
64	TARGET_KNEPP_A New_Barn_Field	Q1	CU0461	2006	15	TQ1420019600	"50.964513, -0.3751305"	Natural_regen	6.72	48.7	0	1	0	NA
	TARGET_KNEPP_A New_Barn_Field	Q4	CU0462	2006	15	TQ1420019600	"50.964513, -0.3751305"	Natural_regen	6.72	48.7	0	1	0	NA
	TARGET_KNEPP_A New_Barn_Field	Q7	CU0463	2006	15	TQ1420019600	"50.964513, -0.3751305"	Natural_regen	6.72	48.7	0	1	0	NA
	TARGET_KNEPP_A New_Barn_Field	Q10	CU0464	2006	15	TQ1420019600	"50.964513, -0.3751305"	Natural_regen	6.72	48.7	0	1	0	NA
	TARGET_KNEPP_A New_Barn_Field	Q13	CU0465	2006	15	TQ1420019600	"50.964513, -0.3751305"	Natural_regen	6.72	48.7	0	1	0	NA
65	Knepp_Pond_field	Q1	CU0466	2003	18	TQ1410019300	"50.961836, -0.3766479"	Natural_regen	6.62	23.5	0	1	0	NA
	Knepp_Pond_field	Q4	CU0467	2003	18	TQ1410019300	"50.961836, -0.3766479"	Natural_regen	6.62	23.5	0	1	0	NA
	Knepp_Pond_field	Q7	CU0468	2003	18	TQ1410019300	"50.961836, -0.3766479"	Natural_regen	6.62	23.5	0	1	0	NA
	Knepp_Pond_field	Q10	CU0469	2003	18	TQ1410019300	"50.961836, -0.3766479"	Natural_regen	6.62	23.5	0	1	0	NA
	Knepp_Pond_field	Q13	CU0470	2003	18	TQ1410019300	"50.961836, -0.3766479"	Natural_regen	6.62	23.5	0	1	0	NA
66	Knepp_Benton_field	Q1	CU0471	2005	16	TQ1450019800	"50.966251, -0.37079737"	Natural_regen	6.52	27.6	0	1	0	NA
	Knepp_Benton_field	Q4	CU0472	2005	16	TQ1450019800	"50.966251, -0.37079737"	Natural_regen	6.52	27.6	0	1	0	NA
	Knepp_Benton_field	Q7	CU0473	2005	16	TQ1450019800	"50.966251, -0.37079737"	Natural_regen	6.52	27.6	0	1	0	NA
	Knepp_Benton_field	Q10	CU0474	2005	16	TQ1450019800	"50.966251, -0.37079737"	Natural_regen	6.52	27.6	0	1	0	NA
	Knepp_Benton_field	Q13	CU0475	2005	16	TQ1450019800	"50.966251, -0.37079737"	Natural_regen	6.52	27.6	0	1	0	NA
