Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	0-10	0-10	0-10	0-10	0-10	100+	100+	100+	100+	100+	11-20	11-20	11-20	11-20	11-20	21-30	21-30	21-30	21-30	21-30	31-40	31-40	31-40	31-40	31-40	61-70	61-70	61-70	61-70	61-70	71-100	71-100	71-100	71-100	71-100
1CMET2-PWY	6981.316907351017	10023.689463871473	14857.293621133207	24300.669607409538	28407.315284212906	7887.440237521294	8687.113770233631	9486.787302945968	9707.976743291061	9929.166183636155	6662.534759520694	9486.814371596061	15461.159456202276	22895.93138900169	27102.71478365709	9273.83142768324	11285.163777844758	17225.31729054512	21283.60641786578	25799.693668719025	16490.920925515486	20899.841727386472	25308.76252925746	25401.969701787202	25495.176874316945	8068.304148175971	8068.304148175971	8068.304148175971	8068.304148175971	8068.304148175971	8898.619599383841	8898.619599383841	8898.619599383841	8898.619599383841	8898.619599383841
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	617.2190503481329	1204.5661753429233	1754.0096694127365	2158.0680614145513	3692.973350911397	629.5292402298284	743.3348539975989	857.1404677653693	894.332396164569	931.5243245637688	557.7727132429958	1044.2650887596417	1657.24814911747	2264.417821164656	5116.450436819428	791.7279852538106	1400.4518865726732	2010.7560133610082	2124.3282343166675	2818.109755838897	1651.8212227655763	1814.018101816691	1976.2149808678053	2328.4421705042264	2680.6693601406473	682.3290255747038	682.3290255747038	682.3290255747038	682.3290255747038	682.3290255747038	576.3226512808692	576.3226512808692	576.3226512808692	576.3226512808692	576.3226512808692
AEROBACTINSYN-PWY	1.0	15.594260304801415	47.023758728459306	69.54211113380802	118.5146360322545	4.985550698984937	6.315509646490185	7.645468593995433	14.90734849816408	22.169228402332728	1.0	15.259321665625217	34.67193235789675	63.615537623725274	107.12396679422514	1.0	29.369754736582465	44.093456615856844	63.44402993849992	78.53873889341975	35.392059129989704	61.86659963658805	88.3411401431864	94.98861948733898	101.63609883149158	12.914255091103968	12.914255091103968	12.914255091103968	12.914255091103968	12.914255091103968	14.205745289608908	14.205745289608908	14.205745289608908	14.205745289608908	14.205745289608908
ALL-CHORISMATE-PWY	1953.9360731942104	3077.4095854672614	4582.641575915819	7243.4660732691755	8598.12393611524	1458.047429826696	1708.2655228560955	1958.4836158854948	2192.2809235437626	2426.0782312020306	491.71854202690116	2907.0159646717298	5264.404769400712	6864.260468401295	9212.235151751658	2267.6364642299013	3305.94256613746	4929.060257815208	5847.487797368634	8116.642598099553	4882.907145645335	5880.819852036651	6878.732558427967	7818.8071942014285	8758.88182997489	2052.2363156689953	2052.2363156689953	2052.2363156689953	2052.2363156689953	2052.2363156689953	2261.0690786594337	2261.0690786594337	2261.0690786594337	2261.0690786594337	2261.0690786594337
ANAEROFRUCAT-PWY	9197.740416397568	12759.725385430509	19820.175230434717	33097.15521919006	36304.08701185147	8889.167727882024	9966.20637804161	11043.245028201196	11126.36415775097	11209.483287300744	8410.366322349586	12176.713098481905	19455.6665211204	30941.628609254163	36397.0856296011	11501.379513908227	14840.49634170753	21862.88133277409	27780.102628997098	35112.99562703406	20701.979679936845	25481.230802021008	30260.48192410517	31138.58079538675	32016.679666668333	9121.23939136435	9121.23939136435	9121.23939136435	9121.23939136435	9121.23939136435	10613.171993425665	10613.171993425665	10613.171993425665	10613.171993425665	10613.171993425665
ANAGLYCOLYSIS-PWY	10967.61080460933	15601.291054130063	23789.249066189346	39181.30360087131	46568.276968184866	11650.9469324544	13294.12844973827	14937.309967022136	15076.507005704916	15215.704044387698	10191.96944004269	14876.1192322382	23029.15795025362	36651.68363339153	42766.003228879825	13463.97367386065	17629.462449716117	26449.961530024302	34225.2174012179	42484.20321348728	24846.409838955347	30505.63483023848	36164.85982152161	38789.91385231778	41414.96788311395	11926.393114127244	11926.393114127244	11926.393114127244	11926.393114127244	11926.393114127244	13808.308669169257	13808.308669169257	13808.308669169257	13808.308669169257	13808.308669169257
ARG+POLYAMINE-SYN	3958.9564910304216	6287.407481200166	8329.574088406038	13365.739053674946	20022.65084377447	3250.135627968447	3590.733525738625	3931.331423508803	4820.674536836691	5710.017650164579	4130.103562151722	5727.4983051354175	9120.464868630972	12886.851995940051	16730.666096827088	5064.596975312465	5907.4292574560495	9494.602015987683	10900.682736381379	14619.697284503296	10659.57559441822	11711.791991217335	12764.008388016447	13216.456798556168	13668.905209095888	3693.9065119553475	3693.9065119553475	3693.9065119553475	3693.9065119553475	3693.9065119553475	4164.8623702284285	4164.8623702284285	4164.8623702284285	4164.8623702284285	4164.8623702284285
ARGORNPROST-PWY	1800.06903709932	2874.1456175354588	4314.105766767516	7303.72982195879	8502.208296383937	1455.4994993995338	1657.863818949144	1860.2281384987539	1874.4058054533177	1888.5834724078816	1963.3110935968498	2728.4279559082606	4138.91223997351	6850.440181603794	8333.634715328488	2294.396424283045	3242.0614129845844	4247.457475467676	5436.437264209787	7976.723730494786	4618.835954563281	5038.697214275806	5458.558473988332	6282.415846242386	7106.27321849644	1983.1828821919676	1983.1828821919676	1983.1828821919676	1983.1828821919676	1983.1828821919676	1892.8720653303133	1892.8720653303133	1892.8720653303133	1892.8720653303133	1892.8720653303133
