	W	Reject null hypothesis
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__JG30-KF-AS9;f__;g__	17	False
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter	17	False
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];__;__	17	False
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__	16	False
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Alkanibacter	16	False
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	16	False
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Aetherobacter	15	False
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__Anaerolinea	15	False
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Phytohabitans	15	False
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__	15	False
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MBNT15;f__;g__	15	False
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Oryzihumus	15	False
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__AKIW659;g__	15	False
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	15	False
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Syntrophus	15	False
k__Bacteria;p__Chloroflexi;c__Anaerolineae;__;__;__	15	False
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter	14	False
k__Bacteria;p__BRC1;c__PRR-11;o__;f__;g__	14	False
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004;f__;g__	14	False
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;__	14	False
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	14	False
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__	14	False
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__	14	False
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__[Leptospirillaceae];g__	14	False
k__Bacteria;p__Firmicutes;__;__;__;__	14	False
k__Bacteria;p__Armatimonadetes;c__;o__;f__;g__	14	False
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__;g__	14	False
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__;g__	14	False
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	13	False
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__	13	False
k__Bacteria;p__Actinobacteria;c__OPB41;o__;f__;g__	13	False
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;f__FFCH4570;g__	13	False
