OTU ID	Taxonomy	Whitelands_2018_19	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU_117	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Chaetothyriales_gen_Incertae_sedis;s__Chaetothyriales_sp	0.0	10.0	0.0	0.0	0.0	38.0	73.0	50.0	9.0	10.0	159.0	12.0	47.0	42.0	6.0	13.0	1.0	0.0	0.0	0.0	0.0	6.0	24.0	0.0	1.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	5.0	0.0	30.0	17.0	0.0	3.0	0.0	6.0	5.0	112.0	12.0	3.0	12.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	50.0	4.0	15.0	15.0	4.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_118	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;__;__;__	102.0	23.0	0.0	0.0	0.0	12.0	0.0	35.0	23.0	16.0	12.0	26.0	27.0	22.0	3.0	0.0	24.0	9.0	0.0	12.0	0.0	4.0	0.0	19.0	23.0	32.0	50.0	0.0	0.0	0.0	0.0	20.0	1.0	17.0	0.0	0.0	123.0	0.0	0.0	0.0	1.0	15.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	6.0	17.0	5.0	16.0	0.0	0.0	0.0	0.0	67.0	0.0	10.0	1.0	0.0	1.0	28.0	0.0	6.0	-	-	-	-	-	-	-	Unassigned	-
OTU_119	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiales_fam_Incertae_sedis;g__Rhizophydiales_gen_Incertae_sedis;s__Rhizophydiales_sp	10.0	87.0	16.0	54.0	1.0	116.0	24.0	146.0	81.0	86.0	116.0	45.0	41.0	26.0	31.0	13.0	29.0	5.0	0.0	88.0	11.0	1.0	6.0	4.0	49.0	12.0	21.0	0.0	6.0	17.0	2.0	11.0	34.0	21.0	13.0	58.0	34.0	8.0	89.0	8.0	0.0	31.0	15.0	10.0	34.0	23.0	14.0	8.0	6.0	14.0	22.0	17.0	118.0	57.0	10.0	192.0	64.0	129.0	6.0	19.0	2.0	0.0	33.0	82.0	13.0	65.0	-	-	-	-	-	-	-	Unassigned	-
OTU_133	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetales_fam_Incertae_sedis;g__Archaeorhizomycetales_gen_Incertae_sedis;s__Archaeorhizomycetales_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	26.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	19.0	2.0	13.0	17.0	108.0	0.0	29.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_139	k__Fungi;p__Kickxellomycota;c__Kickxellomycota_cls_Incertae_sedis;o__Kickxellomycota_ord_Incertae_sedis;f__Kickxellomycota_fam_Incertae_sedis;g__Kickxellomycota_gen_Incertae_sedis;s__Kickxellomycota_sp	2.0	0.0	3.0	10.0	0.0	22.0	18.0	34.0	30.0	49.0	22.0	12.0	27.0	13.0	111.0	85.0	1.0	3.0	0.0	12.0	0.0	7.0	0.0	0.0	6.0	14.0	0.0	10.0	0.0	6.0	0.0	82.0	0.0	8.0	0.0	0.0	7.0	0.0	0.0	0.0	2.0	43.0	2.0	2.0	4.0	30.0	0.0	0.0	75.0	2.0	34.0	11.0	1.0	17.0	46.0	2.0	0.0	0.0	18.0	22.0	11.0	372.0	62.0	18.0	30.0	33.0	-	-	-	-	-	-	-	Unassigned	-
OTU_144	k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Pyxidiophorales;f__Pyxidiophorales_fam_Incertae_sedis;g__Pyxidiophorales_gen_Incertae_sedis;s__Pyxidiophorales_sp	8.0	0.0	0.0	0.0	0.0	3.0	31.0	0.0	0.0	11.0	3.0	58.0	51.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	9.0	0.0	8.0	7.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	4.0	0.0	0.0	16.0	5.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	8.0	2.0	3.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_154	k__Fungi;p__Ascomycota;c__Sordariomycetes;__;__;__;__	2.0	0.0	0.0	9.0	0.0	2.0	0.0	4.0	0.0	2.0	19.0	1.0	2.0	5.0	13.0	6.0	1.0	0.0	4.0	1.0	0.0	11.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	2.0	2.0	2.0	18.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_158	k__Fungi;p__Kickxellomycota;c__GS19;o__GS19_ord_Incertae_sedis;f__GS19_fam_Incertae_sedis;g__GS19_gen_Incertae_sedis;s__GS19_sp	0.0	0.0	4.0	12.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	13.0	0.0	1.0	119.0	0.0	9.0	27.0	0.0	8.0	60.0	0.0	0.0	0.0	0.0	10.0	4.0	11.0	20.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_159	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Tremellodendropsidales;f__Tremellodendropsidales_fam_Incertae_sedis;g__Tremellodendropsidales_gen_Incertae_sedis;s__Tremellodendropsidales_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_162	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenales_fam_Incertae_sedis;g__Onygenales_gen_Incertae_sedis;s__Onygenales_sp	2.0	0.0	3.0	0.0	0.0	31.0	3.0	18.0	4.0	23.0	9.0	0.0	9.0	4.0	0.0	2.0	5.0	1.0	11.0	9.0	0.0	0.0	9.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	7.0	0.0	0.0	92.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	2.0	3.0	1.0	0.0	0.0	0.0	18.0	35.0	0.0	0.0	9.0	50.0	334.0	21.0	-	-	-	-	-	-	-	Unassigned	-
OTU_165	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolales_fam_Incertae_sedis;g__Sporidiobolales_gen_Incertae_sedis;s__Sporidiobolales_sp	0.0	4.0	3.0	5.0	82.0	0.0	6.0	0.0	0.0	0.0	14.0	2.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	6.0	2.0	0.0	27.0	0.0	0.0	0.0	29.0	6.0	2.0	0.0	33.0	5.0	0.0	5.0	21.0	2.0	1.0	0.0	0.0	4.0	0.0	5.0	2.0	0.0	0.0	4.0	6.0	23.0	0.0	3.0	3.0	16.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_171	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Pleuroascaceae;g__Pleuroascaceae_gen_Incertae_sedis;s__Pleuroascaceae_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	20.0	31.0	-	-	-	-	-	-	-	Unassigned	-
OTU_175	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Sporocadaceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_182	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	192.0	-	-	-	-	-	-	-	Unassigned	-
OTU_184	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizomycetes_ord_Incertae_sedis;f__Pezizomycetes_fam_Incertae_sedis;g__Pezizomycetes_gen_Incertae_sedis;s__Pezizomycetes_sp	0.0	0.0	11.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	14.0	13.0	8.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	8.0	0.0	10.0	35.0	6.0	0.0	2.0	30.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_191	k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis;o__Rozellomycota_ord_Incertae_sedis;f__Rozellomycota_fam_Incertae_sedis;g__Rozellomycota_gen_Incertae_sedis;s__Rozellomycota_sp	11.0	2.0	14.0	19.0	4.0	15.0	17.0	3.0	25.0	8.0	55.0	59.0	20.0	8.0	11.0	13.0	43.0	9.0	3.0	17.0	4.0	23.0	0.0	33.0	45.0	24.0	10.0	3.0	0.0	0.0	0.0	20.0	1.0	33.0	21.0	14.0	75.0	0.0	7.0	7.0	11.0	6.0	33.0	10.0	1.0	8.0	16.0	14.0	0.0	11.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	74.0	0.0	22.0	6.0	22.0	9.0	11.0	4.0	2.0	-	-	-	-	-	-	-	Unassigned	-
OTU_200	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinales_fam_Incertae_sedis;g__Sebacinales_gen_Incertae_sedis;s__Sebacinales_sp	25.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_204	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Hydnodontaceae_gen_Incertae_sedis;s__Hydnodontaceae_sp	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_206	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizales_fam_Incertae_sedis;g__Pezizales_gen_Incertae_sedis;s__Pezizales_sp	0.0	6.0	0.0	9.0	0.0	0.0	52.0	178.0	132.0	8.0	8.0	0.0	36.0	32.0	0.0	0.0	3.0	15.0	0.0	3.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0	9.0	25.0	0.0	137.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	9.0	22.0	55.0	63.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_207	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Trechisporales_fam_Incertae_sedis;g__Trechisporales_gen_Incertae_sedis;s__Trechisporales_sp	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	8.0	2.0	3.0	5.0	28.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	4.0	1.0	11.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	12.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_214	k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporea;o__Ichthyosporea_ord_Incertae_sedis;f__Ichthyosporea_fam_Incertae_sedis;g__Ichthyosporea_gen_Incertae_sedis;s__Ichthyosporea_sp	2.0	28.0	0.0	8.0	0.0	0.0	0.0	4.0	10.0	5.0	9.0	0.0	9.0	4.0	0.0	0.0	5.0	2.0	0.0	56.0	33.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	6.0	3.0	26.0	12.0	69.0	0.0	3.0	0.0	29.0	0.0	0.0	0.0	0.0	4.0	12.0	0.0	0.0	4.0	0.0	0.0	17.0	0.0	0.0	4.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	2.0	65.0	0.0	41.0	-	-	-	-	-	-	-	Unassigned	-
OTU_215	k__Fungi;p__Ascomycota;c__GS35;o__GS35_ord_Incertae_sedis;f__GS35_fam_Incertae_sedis;g__GS35_gen_Incertae_sedis;s__GS35_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
