sampleid	Site	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
GP179	Stonehenge_2003_2017b	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay/bush	7.69	184.4	no	yes	yes	yes
GP180	Stonehenge_2003_2017b	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay/bush	7.69	184.4	no	yes	yes	yes
GP181	Stonehenge_2009	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay/bush	7.82	156.5	no	no	yes	yes
GP182	Stonehenge_2009	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay/bush	7.82	156.5	no	no	yes	yes
GP183	Stonehenge_2009	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay/bush	7.82	156.5	no	no	yes	yes
GP184	Stonehenge_2009	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay/bush	7.82	156.5	no	no	yes	yes
GP185	Stonehenge_2009	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay/bush	7.82	156.5	no	no	yes	yes
GP186	Stonehenge_2007_2016	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay/bush	7.87	158.8	no	yes	yes	yes
GP187	Stonehenge_2007_2016	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay/bush	7.87	158.8	no	yes	yes	yes
GP188	Stonehenge_2007_2016	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay/bush	7.87	158.8	no	yes	yes	yes
GP189	Stonehenge_2007_2016	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay/bush	7.87	158.8	no	yes	yes	yes
GP190	Stonehenge_2007_2016	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay/bush	7.87	158.8	no	yes	yes	yes
GP191	Stonehenge_2005	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay/bush	7.85	145	no	no	yes	yes
GP192	Stonehenge_2005	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay/bush	7.85	145	no	no	yes	yes
GP193	Stonehenge_2005	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay/bush	7.85	145	no	no	yes	yes
GP194	Stonehenge_2005	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay/bush	7.85	145	no	no	yes	yes
GP195	Stonehenge_2005	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay/bush	7.85	145	no	no	yes	yes
GP196	Stonehenge_2002_2017	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay/bush	7.91	130.3	no	yes	yes	yes
GP197	Stonehenge_2002_2017	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay/bush	7.91	130.3	no	yes	yes	yes
GP198	Stonehenge_2002_2017	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay/bush	7.91	130.3	no	yes	yes	yes
GP199	Stonehenge_2002_2017	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay/bush	7.91	130.3	no	yes	yes	yes
GP200	Stonehenge_2002_2017	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay/bush	7.91	130.3	no	yes	yes	yes
GP201	Stonehenge_2010	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay/bush	7.69	202	no	yes	yes	yes
GP202	Stonehenge_2010	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay/bush	7.69	202	no	yes	yes	yes
GP203	Stonehenge_2010	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay/bush	7.69	202	no	yes	yes	yes
GP204	Stonehenge_2010	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay/bush	7.69	202	no	yes	yes	yes
GP205	Stonehenge_2010	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay/bush	7.69	202	no	yes	yes	yes
GP206	Stonehenge_2011	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay/bush	7.85	174.3	no	yes	yes	yes
GP207	Stonehenge_2011	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay/bush	7.85	174.3	no	yes	yes	yes
GP208	Stonehenge_2011	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay/bush	7.85	174.3	no	yes	yes	yes
GP209	Stonehenge_2011	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay/bush	7.85	174.3	no	yes	yes	yes
GP210	Stonehenge_2011	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay/bush	7.85	174.3	no	yes	yes	yes
GP211	Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay/bush	7.78	186.6	yes	no	yes	yes
GP212	Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay/bush	7.78	186.6	yes	no	yes	yes
GP213	Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay/bush	7.78	186.6	yes	no	yes	yes
GP214	Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay/bush	7.78	186.6	yes	no	yes	yes
GP215	Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay/bush	7.78	186.6	yes	no	yes	yes
