k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	72.0	74.25	76.5	78.75	81.0	26.0	107.5	192.0	254.75	343.0	42.0	98.0	152.0	223.0	281.0	15.0	84.0	110.0	172.5	247.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__	170.0	176.5	183.0	189.5	196.0	1.0	166.75	318.5	492.0	531.0	1.0	182.0	295.0	375.0	565.0	21.0	110.0	183.0	263.5	572.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	339.0	357.25	375.5	393.75	412.0	76.0	683.25	943.5	1513.75	1940.0	228.0	761.0	966.0	1560.0	1982.0	69.0	549.5	749.0	1389.0	1963.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__Ilumatobacter	108.0	132.0	156.0	180.0	204.0	51.0	240.75	370.0	513.5	782.0	128.0	275.0	389.0	495.0	652.0	29.0	210.0	367.0	486.5	650.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__	79.0	82.0	85.0	88.0	91.0	46.0	212.0	232.5	354.5	510.0	41.0	121.0	246.0	282.0	487.0	54.0	121.0	146.0	237.0	382.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;__	27.0	32.25	37.5	42.75	48.0	9.0	96.25	136.5	236.5	319.0	30.0	91.0	175.0	239.0	428.0	1.0	45.5	148.0	205.0	378.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__	37.0	42.75	48.5	54.25	60.0	42.0	62.75	108.0	166.0	213.0	1.0	56.0	78.0	149.0	195.0	35.0	62.0	75.0	109.5	296.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	72.0	77.0	82.0	87.0	92.0	9.0	157.5	374.0	474.75	549.0	54.0	157.0	263.0	392.0	474.0	25.0	115.5	233.0	361.0	531.0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__;g__	120.0	120.5	121.0	121.5	122.0	81.0	175.5	240.0	329.0	573.0	118.0	185.0	261.0	360.0	627.0	129.0	181.5	269.0	391.0	883.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;__	10.0	10.25	10.5	10.75	11.0	31.0	40.0	56.5	61.75	187.0	1.0	32.0	49.0	69.0	1256.0	1.0	37.5	70.0	78.5	148.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__	46.0	58.75	71.5	84.25	97.0	3.0	94.0	165.0	219.5	405.0	18.0	89.0	115.0	197.0	348.0	26.0	67.5	108.0	171.5	270.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Reyranella	52.0	55.25	58.5	61.75	65.0	71.0	119.75	151.0	200.25	282.0	48.0	74.0	131.0	195.0	311.0	57.0	75.5	97.0	178.5	391.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter	155.0	160.25	165.5	170.75	176.0	35.0	196.0	277.5	355.0	490.0	122.0	213.0	302.0	370.0	510.0	39.0	150.0	271.0	342.0	517.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter	24.0	36.0	48.0	60.0	72.0	13.0	56.0	111.0	152.5	300.0	29.0	53.0	85.0	116.0	129.0	1.0	39.0	59.0	79.0	160.0
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__Candidatus Xiphinematobacter	655.0	677.0	699.0	721.0	743.0	26.0	57.5	103.5	164.25	556.0	32.0	97.0	129.0	180.0	486.0	16.0	60.0	94.0	136.0	487.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Kribbella	34.0	35.0	36.0	37.0	38.0	21.0	55.25	69.5	138.0	438.0	14.0	39.0	80.0	106.0	258.0	11.0	40.0	64.0	96.5	359.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Blastococcus	1.0	4.5	8.0	11.5	15.0	13.0	36.75	50.5	59.0	178.0	9.0	66.0	77.0	147.0	214.0	14.0	32.5	88.0	190.5	262.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	26.0	30.5	35.0	39.5	44.0	13.0	93.0	123.5	156.75	206.0	28.0	86.0	125.0	159.0	230.0	21.0	63.0	127.0	159.0	238.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides	34.0	39.0	44.0	49.0	54.0	70.0	185.5	269.0	387.25	902.0	125.0	214.0	352.0	428.0	554.0	62.0	173.0	372.0	511.5	1043.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;__	1.0	6.0	11.0	16.0	21.0	52.0	75.25	104.5	153.75	254.0	7.0	69.0	91.0	138.0	213.0	1.0	53.5	110.0	152.5	238.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__;g__	38.0	40.25	42.5	44.75	47.0	1.0	43.0	62.5	89.5	142.0	36.0	47.0	60.0	90.0	152.0	1.0	43.5	59.0	82.5	130.0
k__Bacteria;p__Actinobacteria;__;__;__;__	127.0	134.25	141.5	148.75	156.0	316.0	372.0	520.5	650.25	814.0	222.0	354.0	461.0	751.0	856.0	225.0	344.0	480.0	712.5	1036.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	69.0	72.0	75.0	78.0	81.0	60.0	90.5	142.0	161.5	307.0	45.0	81.0	124.0	232.0	357.0	37.0	98.0	150.0	194.0	478.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__	30.0	31.5	33.0	34.5	36.0	11.0	64.5	82.0	113.75	213.0	25.0	56.0	114.0	134.0	290.0	13.0	58.0	99.0	148.0	572.0
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__	18.0	19.0	20.0	21.0	22.0	19.0	40.5	66.0	127.75	227.0	14.0	41.0	80.0	119.0	156.0	12.0	38.0	53.0	108.0	182.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;__	37.0	59.0	81.0	103.0	125.0	1.0	47.25	133.0	195.75	414.0	1.0	78.0	97.0	122.0	173.0	4.0	44.0	72.0	135.0	260.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;g__Actinomadura	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	358.0	1.0	1.0	1.0	1.0	31.0	1.0	1.0	1.0	16.0	3173.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	48.0	66.25	84.5	102.75	121.0	38.0	250.5	290.5	404.5	598.0	97.0	156.0	236.0	297.0	398.0	69.0	146.0	227.0	339.5	565.0
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__;g__	41.0	47.25	53.5	59.75	66.0	1.0	78.5	150.5	198.0	366.0	42.0	69.0	166.0	236.0	361.0	1.0	54.0	86.0	282.0	648.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;__	17.0	32.5	48.0	63.5	79.0	3.0	58.5	149.5	216.0	411.0	23.0	56.0	125.0	197.0	321.0	42.0	73.0	139.0	231.0	672.0
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__	12.0	19.25	26.5	33.75	41.0	19.0	45.5	82.5	128.75	261.0	12.0	52.0	91.0	103.0	182.0	1.0	43.0	64.0	96.0	148.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__[Entotheonellales];f__[Entotheonellaceae];g__	30.0	53.0	76.0	99.0	122.0	1.0	112.5	164.0	250.25	333.0	15.0	71.0	193.0	262.0	359.0	1.0	38.5	112.0	188.5	353.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	17.0	19.0	21.0	23.0	25.0	11.0	51.75	62.5	87.5	279.0	9.0	36.0	50.0	80.0	119.0	6.0	30.5	43.0	62.0	136.0
k__Bacteria;p__;c__;o__;f__;g__	51.0	74.75	98.5	122.25	146.0	22.0	210.25	274.0	490.75	731.0	72.0	143.0	305.0	448.0	553.0	1.0	85.0	222.0	356.0	625.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;__	100.0	107.75	115.5	123.25	131.0	119.0	142.25	296.5	417.0	610.0	112.0	172.0	245.0	373.0	559.0	36.0	111.5	183.0	284.0	426.0
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101	84.0	94.25	104.5	114.75	125.0	1.0	23.25	49.0	96.0	576.0	1.0	16.0	27.0	56.0	227.0	1.0	10.5	31.0	78.0	398.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Dactylosporangium	15.0	15.5	16.0	16.5	17.0	16.0	36.25	46.5	51.0	69.0	17.0	27.0	34.0	45.0	65.0	15.0	29.5	34.0	44.5	71.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	37.0	41.75	46.5	51.25	56.0	20.0	115.0	141.0	181.25	358.0	7.0	98.0	145.0	226.0	294.0	1.0	64.5	121.0	212.0	567.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Paenisporosarcina	47.0	49.0	51.0	53.0	55.0	23.0	48.0	67.5	85.25	170.0	25.0	45.0	76.0	94.0	141.0	25.0	46.0	63.0	76.5	113.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	37.0	40.75	44.5	48.25	52.0	15.0	66.75	89.5	124.0	292.0	1.0	63.0	82.0	119.0	209.0	1.0	68.0	82.0	138.0	274.0
k__Bacteria;__;__;__;__;__	45.0	47.75	50.5	53.25	56.0	15.0	142.25	179.0	411.25	472.0	48.0	94.0	221.0	331.0	434.0	30.0	71.5	238.0	318.5	574.0
