id	Year_est	Age	Establishment	Cutting	Cattle	Sheep	Plough	Year_group	Age_group	Age_binary	pH_binary	pielou_evenness
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
ManorFmBerwickStJohn_1	2014	7	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	BelowMedian	0.882614654015103
ManorFmBerwickStJohn_3	2018	3	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	0.89267850052696
Jemma_1	2010	11	Green_hay_bush	yes	yes	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	0.91480693606593
Jemma_2	2008	13	Natural_regen	no	yes	no	no	2001-2010	11-20	BelowMedian	AboveMedian	0.907887549726647
Jemma_7	2014	7	Green_hay_bush	no	no	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	0.902691883677276
Jemma_4	2015	6	Green_hay_bush	yes	yes	yes	no	2011-2020	0-10	BelowMedian	BelowMedian	0.920187198420501
Jemma_5	2015	6	seed_mix	yes	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	0.920017640869473
Jemma_6	2013	8	seed_mix	yes	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	0.927139275116529
Jemma_9	2015	6	seed_mix	yes	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	0.902806598639984
HomeFarm_WoodlandTrust_Hampshire_good_1c	1994	27	seed_mix	no	yes	no	no	1981-2000	21-30	AboveMedian	BelowMedian	0.913590156652267
Crux_easton_70b1	2000	21	seed_mix	no	no	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	0.906147085317701
Crux_easton_70b2	2002	19	seed_mix	yes	no	yes	no	2001-2010	11-20	AboveMedian	AboveMedian	0.901059770740561
Martin_Down_arabel_reversion	1957	64	Natural_regen	no	no	yes	yes	1940-60	61-70	AboveMedian	AboveMedian	0.910324631249119
Parsonage_down_reversion	1945	76	Natural_regen	no	yes	no	yes	1940-60	71-100	AboveMedian	AboveMedian	0.902442593027
TARGET_MartinDown	old	>100	Natural_regen	no	no	yes	unknown		100+	AboveMedian	AboveMedian	0.897664694684754
TARGET_St_Catherines	old	>100	Natural_regen	no	no	yes	unknown		100+	AboveMedian	AboveMedian	0.87784119998878
TARGET_ParsonageDown	old	>100	Natural_regen	no	no	yes	unknown		100+	AboveMedian	AboveMedian	0.88266502653874
TARGET_KNEPP_A_New_Barn_Field	2006	15	Natural_regen	no	yes	no	unknown	2001-2010	11-20	AboveMedian	BelowMedian	0.90826578214468
Knepp_Pond_field	2003	18	Natural_regen	no	yes	no	unknown	2001-2010	11-20	AboveMedian	BelowMedian	0.839597518105741
Knepp_Benton_field	2005	16	Natural_regen	no	yes	no	unknown	2001-2010	11-20	AboveMedian	BelowMedian	0.897314347251106
