k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	38.0	126.0	153.0	185.0	234.0	1.0	13.25	80.0	171.5	201.0	62.0	102.5	162.0	184.0	223.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__;g__	6.0	29.0	33.0	47.0	101.0	1.0	2.25	9.5	28.75	35.0	3.0	27.5	44.0	65.5	149.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium	9.0	20.0	43.0	71.0	172.0	32.0	86.5	123.0	158.75	173.0	10.0	27.5	45.0	88.0	429.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__	40.0	81.0	106.0	150.0	216.0	1.0	4.5	9.5	10.0	36.0	23.0	74.5	98.0	124.5	200.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__	246.0	445.0	496.0	557.0	845.0	134.0	307.0	455.5	654.25	688.0	112.0	471.0	519.0	633.0	743.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter	9.0	28.0	39.0	66.0	100.0	1.0	3.25	4.0	26.5	66.0	1.0	24.0	35.0	52.0	142.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	21.0	48.0	61.0	67.0	93.0	1.0	3.25	26.0	48.75	72.0	2.0	47.5	57.0	70.0	91.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__	1.0	63.0	103.0	123.0	214.0	1.0	1.0	95.0	208.5	288.0	10.0	81.5	115.0	136.0	161.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	56.0	330.0	388.0	466.0	693.0	20.0	65.25	123.5	186.25	204.0	11.0	321.0	396.0	459.5	585.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__Ilumatobacter	39.0	124.0	152.0	185.0	261.0	14.0	18.25	57.0	94.25	109.0	5.0	110.0	135.0	164.0	325.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__	35.0	63.0	74.0	89.0	137.0	1.0	9.25	32.5	46.75	83.0	19.0	71.0	82.0	95.0	183.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;__	6.0	33.0	56.0	82.0	106.0	1.0	1.0	7.5	16.25	31.0	1.0	44.5	57.0	68.5	108.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__	1.0	26.0	43.0	54.0	100.0	26.0	36.5	41.0	61.25	71.0	13.0	29.5	44.0	54.5	75.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	5.0	77.0	104.0	131.0	154.0	1.0	1.0	22.5	47.0	84.0	9.0	83.0	102.0	117.0	199.0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__;g__	61.0	88.0	103.0	128.0	280.0	30.0	65.25	89.5	220.25	291.0	42.0	87.5	104.0	115.5	197.0
