sampleid	Site
GP349	ThropeManor_3
GP350	ThropeManor_3
GP351	MannorFmBroadChalke
GP352	MannorFmBroadChalke
GP353	MannorFmBroadChalke
GP354	MannorFmBroadChalke
GP355	MannorFmBroadChalke
GP356	BigleyFm_1
GP357	BigleyFm_1
GP358	BigleyFm_1
GP359	BigleyFm_1
GP360	BigleyFm_1
GP361	BigleyFm_2
GP362	BigleyFm_2
GP363	BigleyFm_2
GP364	BigleyFm_2
GP365	BigleyFm_2
GP366	NorringtonMannorFm_1
GP367	NorringtonMannorFm_1
GP368	NorringtonMannorFm_1
GP369	NorringtonMannorFm_1
GP370	NorringtonMannorFm_1
GP371	NorringtonMannorFm_2
GP372	NorringtonMannorFm_2
GP373	NorringtonMannorFm_2
GP374	NorringtonMannorFm_2
GP375	NorringtonMannorFm_2
GP376	ManorFmBerwickStJohn_1
GP377	ManorFmBerwickStJohn_1
GP378	ManorFmBerwickStJohn_1
GP379	ManorFmBerwickStJohn_1
GP380	ManorFmBerwickStJohn_1
GP381	ManorFmBerwickStJohn_3
GP382	ManorFmBerwickStJohn_3
GP383	ManorFmBerwickStJohn_3
GP384	ManorFmBerwickStJohn_3
GP385	ManorFmBerwickStJohn_3
GP386	Jemma_1
GP387	Jemma_1
GP388	Jemma_1
GP389	Jemma_1
GP390	Jemma_1
GP391	Jemma_2
GP392	Jemma_2
GP393	Jemma_2
GP394	Jemma_2
GP395	Jemma_2
GP396	Jemma_7
GP397	Jemma_7
GP398	Jemma_7
GP399	Jemma_7
GP400	Jemma_7
GP401	Jemma_4
GP402	Jemma_4
GP403	Jemma_4
GP404	Jemma_4
GP405	Jemma_4
GP406	Jemma_5
GP407	Jemma_5
GP408	Jemma_5
GP409	Jemma_5
GP410	Jemma_5
GP411	Jemma_6
GP412	Jemma_6
GP413	Jemma_6
GP414	Jemma_6
GP415	Jemma_6
GP416	Jemma_9
GP417	Jemma_9
GP418	Jemma_9
GP419	Jemma_9
GP420	Jemma_9
GP421	HomeFarm_WoodlandTrust_Hampshire_good_1c
GP422	HomeFarm_WoodlandTrust_Hampshire_good_1c
GP423	HomeFarm_WoodlandTrust_Hampshire_good_1c
GP424	HomeFarm_WoodlandTrust_Hampshire_good_1c
GP425	HomeFarm_WoodlandTrust_Hampshire_good_1c
GP426	Crux_easton_70b1
GP427	Crux_easton_70b1
GP428	Crux_easton_70b1
GP429	Crux_easton_70b1
GP430	Crux_easton_70b1
GP431	Crux_easton_70b2
GP432	Crux_easton_70b2
