sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
GF352	62079	60514	97.48	59967	57758	93.04	57309	92.32
GF353	63764	62143	97.46	61662	60872	95.46	60749	95.27
GF354	70881	68385	96.48	67882	51733	72.99	51397	72.51
GF355	69445	67425	97.09	66556	65195	93.88	64634	93.07
GF356	63445	61668	97.2	61079	59693	94.09	59372	93.58
GF357	64576	62526	96.83	62127	61336	94.98	61059	94.55
GF358	71230	68564	96.26	67953	66725	93.68	65489	91.94
GF359	59984	58301	97.19	57908	57213	95.38	57138	95.26
GF360	64135	61952	96.6	61490	60557	94.42	60318	94.05
GF361	62210	60122	96.64	59579	58509	94.05	58337	93.77
GF362	63349	60216	95.05	59405	57176	90.26	56173	88.67
GF363	62393	59969	96.11	59320	55891	89.58	55066	88.26
GF364	70447	65249	92.62	64622	60987	86.57	60643	86.08
GF365	64251	62381	97.09	61664	55252	85.99	54957	85.53
GF366	63183	61768	97.76	61260	60708	96.08	60470	95.71
GF368	61479	60038	97.66	59453	58459	95.09	58440	95.06
GF369	62778	61136	97.38	60603	57553	91.68	57355	91.36
GF370	61766	59909	96.99	59367	58464	94.65	58363	94.49
GF371	60973	58271	95.57	57698	56613	92.85	56214	92.19
GF372	63760	62070	97.35	61495	60735	95.26	59196	92.84
GF373	74118	70904	95.66	69988	68620	92.58	67551	91.14
GF374	64206	62308	97.04	61511	60165	93.71	58349	90.88
GF375	62320	60821	97.59	60272	59426	95.36	58983	94.65
GF376	60399	56580	93.68	55964	54715	90.59	54184	89.71
GF377	59470	53834	90.52	53332	51473	86.55	48927	82.27
GF378	60342	56890	94.28	56600	55931	92.69	55917	92.67
GF379	63649	53892	84.67	53304	51938	81.6	51259	80.53
GF380	31626	31023	98.09	30757	30464	96.33	30441	96.25
GF381	63324	61258	96.74	60481	59209	93.5	58913	93.03
GF382	62317	60428	96.97	60399	60245	96.68	60151	96.52
GF383	59692	58015	97.19	57271	53893	90.29	53221	89.16
GF384	51568	48132	93.34	47604	44421	86.14	44148	85.61
GF385	63321	60596	95.7	59994	53794	84.95	53578	84.61
GF386	60854	59636	98	59436	58777	96.59	58304	95.81
GF387	49910	49149	98.48	48757	47881	95.93	47294	94.76
GF388	31114	30576	98.27	30331	29843	95.92	29731	95.56
GF389	61167	59759	97.7	59402	58671	95.92	58325	95.35
GF390	62850	61555	97.94	61108	59975	95.43	59376	94.47
GF391	61873	60290	97.44	59988	59334	95.9	59120	95.55
GF392	63699	62009	97.35	61887	61290	96.22	61265	96.18
GF393	65317	63210	96.77	62524	60993	93.38	60522	92.66
GF394	61396	60047	97.8	59543	58672	95.56	58267	94.9
GF395	62662	59805	95.44	59187	58110	92.74	57862	92.34
