OTU ID	Taxonomy	Whitelands_2018_19	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
OTU_17	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__Clonostachys_rosea	98.0	323.0	37.0	92.0	24.0	53.0	45.0	183.0	377.0	129.0	79.0	180.0	212.0	62.0	31.0	40.0	162.0	59.0	81.0	361.0	252.0	61.0	90.0	33.0	61.0	108.0	95.0	138.0	55.0	12.0	100.0	212.0	146.0	214.0	63.0	0.0	217.0	52.0	188.0	149.0	244.0	125.0	69.0	80.0	193.0	96.0	206.0	152.0	23.0	65.0	44.0	264.0	119.0	93.0	38.0	20.0	35.0	97.0	23.0	33.0	13.0	12.0	43.0	152.0	13.0	69.0
OTU_18	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Dermoloma;s__Dermoloma_magicum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5908.0	0.0
OTU_19	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis;s__Helotiales_sp	46.0	818.0	102.0	80.0	225.0	277.0	483.0	751.0	193.0	129.0	512.0	291.0	399.0	63.0	82.0	15.0	105.0	12.0	39.0	115.0	45.0	405.0	312.0	358.0	445.0	618.0	111.0	151.0	75.0	9.0	36.0	98.0	59.0	51.0	9.0	5.0	133.0	640.0	123.0	165.0	120.0	333.0	48.0	104.0	17.0	805.0	397.0	122.0	282.0	116.0	46.0	73.0	472.0	338.0	9.0	1004.0	171.0	475.0	44.0	9.0	6.0	19.0	1.0	4.0	27.0	6.0
OTU_20	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_podzolica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	131.0	255.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	836.0	0.0	0.0	75.0	23.0	0.0	3.0	0.0	7.0	0.0	0.0	36.0	10.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	1268.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	756.0	465.0	375.0
OTU_21	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_gamsii	0.0	29.0	49.0	20.0	19.0	56.0	69.0	14.0	25.0	17.0	119.0	181.0	16.0	21.0	8.0	27.0	13.0	0.0	0.0	302.0	0.0	0.0	288.0	21.0	17.0	0.0	0.0	0.0	124.0	0.0	52.0	60.0	28.0	79.0	126.0	104.0	0.0	0.0	193.0	48.0	41.0	210.0	12.0	83.0	42.0	0.0	196.0	119.0	54.0	175.0	44.0	452.0	0.0	62.0	45.0	162.0	652.0	0.0	18.0	66.0	44.0	0.0	27.0	97.0	37.0	63.0
OTU_22	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp	33.0	210.0	131.0	234.0	178.0	22.0	206.0	99.0	120.0	117.0	64.0	119.0	66.0	247.0	61.0	233.0	172.0	33.0	12.0	151.0	153.0	138.0	70.0	35.0	0.0	26.0	17.0	59.0	35.0	130.0	38.0	199.0	28.0	153.0	17.0	149.0	51.0	85.0	165.0	304.0	392.0	65.0	28.0	154.0	88.0	21.0	160.0	169.0	135.0	134.0	24.0	82.0	297.0	89.0	28.0	136.0	55.0	84.0	104.0	115.0	91.0	40.0	60.0	185.0	55.0	92.0
OTU_23	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	167.0	197.0	35.0	246.0	209.0	186.0	198.0	286.0	1146.0	213.0	119.0	493.0	264.0	341.0	35.0	83.0	134.0	796.0	1325.0	207.0	267.0	464.0	856.0	124.0	89.0	158.0	153.0	44.0	106.0	227.0	118.0	148.0	0.0	286.0	184.0	4.0	118.0	77.0	132.0	197.0	208.0	176.0	102.0	140.0	125.0	244.0	263.0	108.0	964.0	205.0	144.0	207.0	218.0	318.0	125.0	92.0	185.0	169.0	210.0	71.0	145.0	15.0	62.0	191.0	4.0	173.0
OTU_24	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Dactylonectria;s__Dactylonectria_macrodidyma	212.0	156.0	75.0	269.0	103.0	70.0	172.0	142.0	150.0	86.0	73.0	136.0	182.0	94.0	29.0	74.0	215.0	28.0	68.0	258.0	205.0	77.0	235.0	234.0	180.0	240.0	75.0	542.0	32.0	9.0	35.0	171.0	112.0	175.0	51.0	0.0	142.0	156.0	290.0	134.0	96.0	73.0	78.0	144.0	176.0	240.0	172.0	125.0	41.0	113.0	138.0	104.0	160.0	177.0	68.0	4.0	109.0	104.0	57.0	110.0	21.0	59.0	183.0	17.0	0.0	17.0
OTU_25	k__Fungi;p__Zoopagomycota;c__Zoopagomycetes;o__Zoopagales;f__Piptocephalidaceae;g__Syncephalis;s__Syncephalis_parvula	83.0	154.0	11.0	8.0	20.0	77.0	35.0	97.0	156.0	149.0	87.0	216.0	148.0	30.0	0.0	0.0	59.0	120.0	97.0	10.0	50.0	12.0	19.0	102.0	174.0	57.0	74.0	266.0	41.0	93.0	41.0	29.0	20.0	23.0	393.0	0.0	362.0	42.0	20.0	3.0	22.0	37.0	24.0	17.0	64.0	34.0	3.0	15.0	154.0	96.0	79.0	20.0	14.0	95.0	30.0	9.0	18.0	36.0	0.0	77.0	0.0	0.0	38.0	23.0	4.0	70.0
OTU_26	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pyrenochaetopsidaceae;g__Pyrenochaetopsis;s__Pyrenochaetopsis_leptospora	119.0	155.0	49.0	21.0	54.0	23.0	50.0	24.0	34.0	50.0	37.0	197.0	29.0	147.0	4.0	135.0	36.0	9.0	33.0	328.0	71.0	15.0	135.0	96.0	39.0	18.0	19.0	60.0	27.0	0.0	28.0	45.0	248.0	39.0	78.0	3.0	21.0	40.0	169.0	78.0	67.0	28.0	22.0	78.0	36.0	10.0	147.0	93.0	28.0	25.0	19.0	30.0	54.0	32.0	15.0	7.0	144.0	33.0	47.0	37.0	51.0	107.0	24.0	119.0	19.0	137.0
OTU_27	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_terricola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1711.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	882.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	721.0	56.0	11.0
OTU_28	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia_kudriavzevii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557.0	0.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
