OTU ID	Whitelands_2018_19	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium	4.0	5.0	3.0	58.0	18.0	0.0	3.0	0.0	3.0	2.0	6.0	7.0	2.0	6.0	15.0	9.0	9.0	70.0	9.0	3.0	0.0	27.0	70.0	8.0	6.0	2.0	1.0	4.0	10.0	0.0	0.0	8.0	0.0	9.0	30.0	0.0	1.0	17.0	7.0	2.0	9.0	24.0	3.0	3.0	4.0	26.0	7.0	1.0	3.0	1.0	0.0	8.0	10.0	51.0	8.0	2.0	0.0	23.0	17.0	5.0	10.0	11.0	3.0	1.0	0.0	9.0
Unassigned;__;__;__;__;__	41.0	47.0	50.0	100.0	23.0	71.0	49.0	113.0	43.0	70.0	127.0	28.0	60.0	4.0	199.0	156.0	64.0	62.0	8.0	27.0	11.0	52.0	40.0	12.0	41.0	94.0	76.0	0.0	136.0	0.0	77.0	33.0	421.0	14.0	16.0	5.0	224.0	35.0	71.0	23.0	27.0	5.0	1.0	5.0	47.0	19.0	28.0	7.0	13.0	144.0	13.0	11.0	22.0	56.0	5.0	20.0	2.0	57.0	51.0	111.0	79.0	248.0	275.0	80.0	394.0	637.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Gliophorus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	749.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entolomataceae_gen_Incertae_sedis	3.0	0.0	5.0	0.0	0.0	7.0	7.0	8.0	7.0	27.0	1.0	52.0	37.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	16.0	0.0	3.0	0.0	0.0	33.0	22.0	0.0	32.0	56.0	83.0	0.0	19.0	74.0	0.0	0.0	47.0	88.0	8.0	5.0	0.0	16.0	25.0	5.0	0.0	0.0	0.0	3.0	3.0	4.0	0.0	4.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metapochonia	11.0	46.0	3.0	35.0	0.0	10.0	36.0	18.0	26.0	13.0	16.0	64.0	33.0	62.0	10.0	48.0	24.0	1.0	10.0	68.0	67.0	15.0	65.0	0.0	1.0	2.0	7.0	8.0	0.0	0.0	6.0	27.0	0.0	12.0	5.0	36.0	13.0	0.0	58.0	40.0	20.0	15.0	19.0	63.0	15.0	17.0	12.0	56.0	38.0	7.0	0.0	32.0	8.0	0.0	14.0	31.0	0.0	0.0	138.0	14.0	89.0	0.0	3.0	18.0	55.0	34.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Ploettnerulaceae;g__Cadophora	39.0	0.0	8.0	71.0	0.0	39.0	76.0	41.0	24.0	7.0	25.0	16.0	21.0	0.0	366.0	57.0	76.0	2.0	0.0	147.0	112.0	268.0	171.0	0.0	0.0	221.0	3.0	621.0	0.0	0.0	0.0	34.0	0.0	110.0	0.0	26.0	225.0	0.0	91.0	129.0	144.0	48.0	90.0	54.0	19.0	517.0	163.0	106.0	47.0	11.0	18.0	31.0	23.0	6.0	36.0	13.0	0.0	28.0	107.0	46.0	77.0	152.0	111.0	145.0	9.0	271.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Sarcopodium	1.0	0.0	1.0	31.0	0.0	7.0	11.0	20.0	46.0	37.0	41.0	43.0	39.0	29.0	0.0	12.0	48.0	7.0	0.0	1.0	0.0	0.0	37.0	16.0	17.0	16.0	20.0	10.0	0.0	25.0	33.0	96.0	0.0	25.0	81.0	0.0	31.0	15.0	0.0	3.0	13.0	41.0	0.0	22.0	30.0	34.0	0.0	27.0	3.0	4.0	21.0	55.0	36.0	16.0	15.0	0.0	0.0	0.0	4.0	15.0	20.0	0.0	18.0	2.0	0.0	13.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Stephanosporaceae;g__Lindtneria	0.0	0.0	4.0	19.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	20.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricomycetes_ord_Incertae_sedis;f__Agaricomycetes_fam_Incertae_sedis;g__Agaricomycetes_gen_Incertae_sedis	0.0	16.0	0.0	10.0	0.0	1.0	5.0	66.0	0.0	5.0	43.0	0.0	56.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	57.0	16.0	1.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	56.0	2.0	0.0	0.0	5.0	12.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	241.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	22.0	0.0	0.0	7.0	0.0	0.0	9.0	2.0	0.0	1.0	0.0	0.0	2.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Chlamydocillium	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	19.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	9.0	28.0	61.0	0.0	0.0	0.0	0.0	42.0	44.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	0.0	0.0	0.0	40.0	22.0	5.0	0.0	0.0	4.0	5.0	0.0	14.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	35.0	0.0	2.0	0.0	0.0	0.0	0.0
