#SampleID	faith_pd
Whitelands_2018/19_	40.85162084022677
Castle_Field_West_(W)	37.2661982407996
Toposcope_Field_-_1980s	37.6353687872482
Bradenham_post-1986_b	37.2336286431576
Lardon_Chase_The_Holies_motorcycle	25.53381871013969
Stonehenge_2000_2017a	36.20911994220844
Stonehenge_2003_2017b	35.84024377297257
Stonehenge_2009	37.04578472746731
Stonehenge_2007_2016	34.35558027936467
Stonehenge_2005	34.11243943886588
Stonehenge_2002_2017	33.616074323366
Stonehenge_2010	34.60906639664984
Stonehenge_2011	36.17554458226351
Stonehenge_-_Luxenborough_BankB	36.45773900248387
Watlington_natural_reversion	37.43288813945251
St_Catherines_A3	33.36540407517641
HARLEY_FARMS_Chittern	34.03109603572447
HARLEY_FARMS_New1	37.48255455271794
HARLEY_FARMS_new2b	41.83775585204906
WINDMILL_farm	30.79718422681153
DRUIDS	35.6135443219856
Stratton_Wood	33.27783510947782
WESTMEAD_FARM	31.39861761317434
RSPB_orig_green	35.89984501610544
RSPB_churchil	32.72366889282209
RSPB_junction	38.88706657154331
RSPB_Mainline	35.86034935763254
Baltic_farm_1	25.83558344735712
Baltic_farm_2	30.66810277066982
WestEndFarm	25.94969188595022
HorntonHouseFarm_1_parallel	30.68018417934868
TownsendFarm_1	36.42625539435177
TownsendFarm_2	37.19313157901075
TownsendFarm_3_big	36.42001365177033
ChurchFarm	40.73403439479627
StowellFarms_1_adj	30.20730227271176
MannorFmAltonBarnes	28.85820722236086
HommingtonFarm	29.94944520867022
ThropeManor_1	25.63570343652498
ThropeManor_2	20.30782603623529
ThropeManor_3	22.25751685163872
MannorFmBroadChalke	25.72638851973925
BigleyFm_1	22.67881489356976
BigleyFm_2	22.51433493806902
NorringtonMannorFm_1	22.50806878971389
NorringtonMannorFm_2	26.45907828581423
ManorFmBerwickStJohn_1	25.70418749134835
ManorFmBerwickStJohn_3	23.19519045911802
Jemma_1	24.40523553602343
Jemma_2	28.49195940955101
Jemma_7	28.00406397463962
Jemma_4	22.76234636024244
Jemma_5	32.57779279622089
Jemma_6	33.62914330987793
Jemma_9	23.10658953175009
HomeFarm_WoodlandTrust_Hampshire_good_1c	26.17729361323733
Crux_easton_70b1	31.7120087468546
Crux_easton_70b2	32.78916482601554
Martin_Down_arabel_reversion	22.57813275841416
Parsonage_down_reversion	22.8090694748264
TARGET_MartinDown	21.26682092247081
TARGET_St_Catherines	22.16766016134486
TARGET_ParsonageDown	23.10331314213831
TARGET_KNEPP_A New_Barn_Field	23.95219332231545
Knepp_Pond_field	19.09308686061364
Knepp_Benton_field	28.4779289441754
