Group 1,Group 2,H,p-value,q-value
1 (n=2),10 (n=1),0.0,1.0,1.0
1 (n=2),11 (n=5),1.3499999999999979,0.2452781168067699,0.6346210157258223
1 (n=2),12 (n=3),3.0,0.08326451666355042,0.6346210157258223
1 (n=2),13 (n=1),1.5,0.22067136191984324,0.6346210157258223
1 (n=2),14 (n=3),0.0,1.0,1.0
1 (n=2),15 (n=2),0.0,1.0,1.0
1 (n=2),16 (n=3),0.3333333333333357,0.5637028616507718,0.8523187268159699
1 (n=2),18 (n=2),2.3999999999999986,0.12133525035848367,0.6346210157258223
1 (n=2),19 (n=5),0.14999999999999858,0.69853535830334,0.8981168892471514
1 (n=2),2 (n=1),1.5,0.22067136191984324,0.6346210157258223
1 (n=2),21 (n=6),1.0,0.31731050786291115,0.6346210157258223
1 (n=2),23 (n=2),0.0,1.0,1.0
1 (n=2),26 (n=1),0.0,1.0,1.0
1 (n=2),27 (n=2),0.0,1.0,1.0
1 (n=2),3 (n=2),2.3999999999999986,0.12133525035848367,0.6346210157258223
1 (n=2),31 (n=1),1.5,0.22067136191984324,0.6346210157258223
1 (n=2),35 (n=1),0.0,1.0,1.0
1 (n=2),36 (n=1),1.5,0.22067136191984324,0.6346210157258223
1 (n=2),4 (n=2),0.0,1.0,1.0
1 (n=2),5 (n=2),2.3999999999999986,0.12133525035848367,0.6346210157258223
1 (n=2),6 (n=4),1.928571428571427,0.16491482255329762,0.6346210157258223
1 (n=2),64 (n=1),0.0,1.0,1.0
1 (n=2),7 (n=5),1.3499999999999979,0.2452781168067699,0.6346210157258223
1 (n=2),76 (n=1),1.5,0.22067136191984324,0.6346210157258223
1 (n=2),8 (n=2),2.3999999999999986,0.12133525035848367,0.6346210157258223
1 (n=2),9 (n=2),2.3999999999999986,0.12133525035848367,0.6346210157258223
1 (n=2),>100 (n=3),0.0,1.0,1.0
10 (n=1),11 (n=5),0.7714285714285722,0.37977547484094853,0.7106689578706858
10 (n=1),12 (n=3),1.8000000000000007,0.17971249487899588,0.6346210157258223
10 (n=1),13 (n=1),1.0,0.31731050786291115,0.6346210157258223
10 (n=1),14 (n=3),0.1999999999999993,0.6547208460185774,0.8683665957720117
10 (n=1),15 (n=2),0.0,1.0,1.0
10 (n=1),16 (n=3),0.1999999999999993,0.6547208460185774,0.8683665957720117
10 (n=1),18 (n=2),1.5,0.22067136191984324,0.6346210157258223
10 (n=1),19 (n=5),0.08571428571428541,0.7696979437812901,0.9446292946406742
10 (n=1),2 (n=1),1.0,0.31731050786291115,0.6346210157258223
10 (n=1),21 (n=6),2.25,0.13361440253771584,0.6346210157258223
10 (n=1),23 (n=2),0.0,1.0,1.0
10 (n=1),26 (n=1),1.0,0.31731050786291115,0.6346210157258223
10 (n=1),27 (n=2),0.0,1.0,1.0
10 (n=1),3 (n=2),1.5,0.22067136191984324,0.6346210157258223
10 (n=1),31 (n=1),1.0,0.31731050786291115,0.6346210157258223
10 (n=1),35 (n=1),1.0,0.31731050786291115,0.6346210157258223
10 (n=1),36 (n=1),1.0,0.31731050786291115,0.6346210157258223
10 (n=1),4 (n=2),0.0,1.0,1.0
10 (n=1),5 (n=2),1.5,0.22067136191984324,0.6346210157258223
10 (n=1),6 (n=4),2.0,0.15729920705028105,0.6346210157258223
10 (n=1),64 (n=1),1.0,0.31731050786291115,0.6346210157258223
10 (n=1),7 (n=5),0.7714285714285722,0.37977547484094853,0.7106689578706858
10 (n=1),76 (n=1),1.0,0.31731050786291115,0.6346210157258223
10 (n=1),8 (n=2),1.5,0.22067136191984324,0.6346210157258223
10 (n=1),9 (n=2),1.5,0.22067136191984324,0.6346210157258223
10 (n=1),>100 (n=3),0.1999999999999993,0.6547208460185774,0.8683665957720117
11 (n=5),12 (n=3),0.02222222222221859,0.8814974521910232,1.0
