Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
No,Yes,42,999,1.2635069789707811,0.175,0.175
No,nan,24,999,3.109698269027444,0.08,0.12000000000000001
Yes,nan,20,999,2.9520088591785165,0.041,0.12000000000000001
