index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales,k__Fungi;__;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales,k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes;o__Zoopagales,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Cercozoa_ord_Incertae_sedis,k__Fungi;p__Ascomycota;__;__,k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis;o__Basidiomycota_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;__,k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales,Unassigned;__;__;__,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricomycetes_ord_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Tremellodendropsidales,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales,k__Fungi;p__Kickxellomycota;c__Kickxellomycota_cls_Incertae_sedis;o__Kickxellomycota_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Pyxidiophorales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales,k__Fungi;p__Ascomycota;c__Sordariomycetes;__,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales,k__Fungi;p__Kickxellomycota;c__GS19;o__GS19_ord_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizomycetes_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales,k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis;o__Rozellomycota_ord_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporea;o__Ichthyosporea_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__GS35;o__GS35_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales,k__Fungi;p__Ascomycota;c__Geoglossomycetes;o__Geoglossales,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes;o__Cladochytriales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phomatosporales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Gloniales,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS07,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales,k__Fungi;p__Zoopagomycota;c__Zoopagomycota_cls_Incertae_sedis;o__Zoopagomycota_ord_Incertae_sedis,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__Branch03,k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Platygloeales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales,k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes;o__Monoblepharidales,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycetes;o__Blastocladiales,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiomycetes_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiomycetes_ord_Incertae_sedis,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Muyocopronales,k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucoromycotina_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Sareomycetes;o__Sareales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Pleurotheciales,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales,k__Fungi;p__Chytridiomycota;c__Chytridiomycota_cls_Incertae_sedis;o__Chytridiomycota_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Laboulbeniomycetes_ord_Incertae_sedis,k__Fungi;p__Chytridiomycota;c__Lobulomycetes;o__Lobulomycetales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Savoryellales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Amylocorticiales,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS05,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Acrospermales,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales,k__Fungi;p__Kickxellomycota;c__Ramicandelaberomycetes;o__Ramicandelaberales,k__Fungi;p__Ascomycota;c__Leotiomycetes;__,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Kriegeriales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales,k__Fungi;p__Chytridiomycota;__;__,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes;o__Rhizophlyctidales,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes;o__Kickxellales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Thaumatomonadida,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes;o__Geminibasidiales,k__Fungi;p__Monoblepharomycota;c__Hyaloraphidiomycetes;o__Hyaloraphidiales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Heterogastridiales,k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;__,k__Fungi;p__Ascomycota;c__Dothideomycetes;__,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Cercomonadida,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiomycetes_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Arachnomycetales,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales,k__Fungi;p__Chytridiomycota;c__GS14;o__GS14_ord_Incertae_sedis,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS08,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales,k__Fungi;p__Blastocladiomycota;c__Physodermatomycetes;o__Physodermatales,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycota_cls_Incertae_sedis;o__Blastocladiomycota_ord_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Minutisphaerales,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Sclerococcales,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS10,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes;o__Spiculogloeales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales,k__Fungi;p__Basidiomycota;c__Atractiellomycetes;o__Atractiellales,k__Stramenopila;p__Ochrophyta;c__Bacillariophyceae;o__Naviculales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariomycetidae_ord_Incertae_sedis,k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;__,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes;o__GS16,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Urocystidales,k__Fungi;p__Sanchytriomycota;c__Sanchytriomycetes;o__Sanchytriales,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Violaceomycetales,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis,k__Metazoa;p__Chordata;c__Actinopterygii;__,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Cephalothecales,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Mycocaliciales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales,k__Fungi;p__Mortierellomycota;c__Mortierellomycota_cls_Incertae_sedis;o__Mortierellomycota_ord_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Tremellomycetes;__,k__Fungi;p__Monoblepharomycota;__;__,k__Fungi;p__Basidiomycota;__;__,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycota_cls_Incertae_sedis;o__Basidiobolomycota_ord_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellomycetes_ord_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Sakaguchiales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporia_cls_Incertae_sedis;o__Ichthyosporia_ord_Incertae_sedis,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Age_category
Whitelands_2018_19,1197.0,1398.0,1823.0,39.0,825.0,237.0,812.0,148.0,908.0,489.0,201.0,155.0,174.0,102.0,35.0,1067.0,74.0,46.0,5.0,118.0,269.0,69.0,64.0,0.0,0.0,0.0,31.0,0.0,0.0,9.0,33.0,0.0,0.0,115.0,0.0,11.0,21.0,6.0,5.0,7.0,0.0,2.0,7.0,0.0,25.0,206.0,0.0,0.0,5.0,43.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,2.0,10.0,0.0,23.0,0.0,12.0,1.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,5.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,3,SU2990087100,"51.581972, -1.5698756",seed_mix,pH_8,136.4,No,No,Yes,Yes,New
Castle_Field_West_(W),3183.0,676.0,409.0,342.0,1128.0,668.0,1114.0,149.0,1369.0,281.0,101.0,155.0,192.0,190.0,135.0,202.0,26.0,35.0,57.0,41.0,0.0,196.0,29.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,49.0,12.0,0.0,20.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,0.0,0.0,24.0,0.0,5.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2002,19,SU2950086200,"51.573901, -1.5757235",seed_mix,pH_7,139.3,No,Yes,Yes,Yes,Intermediate
Toposcope_Field_-_1980s,4236.0,892.0,13.0,404.0,1877.0,162.0,192.0,39.0,927.0,41.0,883.0,4.0,36.0,76.0,3.0,113.0,0.0,99.0,75.0,24.0,114.0,31.0,8.0,0.0,543.0,5.0,0.0,0.0,0.0,3.0,61.0,0.0,0.0,23.0,0.0,23.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,11.0,10.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1985,36,SU2950086600,"51.577497, -1.5756901",Natural_regen,pH_7,139.7,No,Yes,Yes,No,Old
Bradenham_post-1986_b,878.0,1040.0,146.0,203.0,1818.0,471.0,765.0,65.0,2165.0,45.0,552.0,17.0,253.0,56.0,8.0,585.0,190.0,10.0,294.0,34.0,0.0,570.0,83.0,61.0,68.0,14.0,0.0,5.0,0.0,73.0,97.0,9.0,0.0,9.0,0.0,61.0,106.0,1.0,6.0,0.0,58.0,7.0,0.0,6.0,2.0,4.0,0.0,0.0,26.0,0.0,14.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,3.0,3.0,0.0,17.0,0.0,0.0,4.0,0.0,22.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1986,35,SU8290097718,"51.672127, -0.80258692",seed_mix,pH_7,151.7,No,Yes,Yes,Yes,Old
Lardon_Chase_The_Holies_motorcycle,3872.0,530.0,63.0,66.0,2345.0,1067.0,576.0,12.0,953.0,129.0,45.0,0.0,215.0,71.0,0.0,532.0,37.0,0.0,31.0,36.0,0.0,161.0,13.0,25.0,0.0,0.0,13.0,0.0,7.0,17.0,19.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,85.0,11.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2007,14,SU5930079800,"51.514021, -1.1468383",Natural_regen,pH_7,135.7,No,No,Yes,No,Intermediate
Stonehenge_2000_2017a,991.0,463.0,72.0,137.0,865.0,260.0,732.0,205.0,903.0,122.0,4782.0,5.0,173.0,109.0,0.0,502.0,17.0,2.0,78.0,49.0,2.0,36.0,52.0,12.0,1.0,0.0,9.0,0.0,0.0,1.0,65.0,0.0,1.0,10.0,0.0,107.0,46.0,18.0,22.0,4.0,0.0,2.0,3.0,2.0,6.0,6.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2000,21,SU1370042400,"51.180671, -1.8053828",Green_hay_bush,pH_7,144.3,No,Yes,Yes,Yes,Old
Stonehenge_2003_2017b,2739.0,335.0,75.0,240.0,1892.0,261.0,1031.0,428.0,1245.0,118.0,343.0,32.0,171.0,160.0,4.0,765.0,17.0,101.0,35.0,36.0,5.0,91.0,84.0,27.0,0.0,172.0,3.0,201.0,0.0,5.0,55.0,5.0,16.0,12.0,0.0,32.0,47.0,9.0,17.0,24.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,0.0,22.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,29.0,6.0,0.0,0.0,0.0,15.0,5.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2003,18,SU1150041600,"51.173525, -1.8368821",Green_hay_bush,pH_7,184.4,No,Yes,Yes,Yes,Intermediate
Stonehenge_2009,1510.0,503.0,95.0,112.0,1734.0,339.0,1470.0,414.0,1905.0,140.0,274.0,5.0,297.0,126.0,3.0,428.0,34.0,313.0,58.0,61.0,4.0,59.0,78.0,5.0,0.0,4.0,5.0,0.0,0.0,2.0,95.0,53.0,0.0,7.0,256.0,149.0,47.0,0.0,44.0,0.0,0.0,4.0,1.0,0.0,3.0,250.0,0.0,2.0,0.0,4.0,10.0,1.0,0.0,7.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2009,12,SU1050041700,"51.174443, -1.8511833",Green_hay_bush,pH_7,156.5,No,No,Yes,Yes,Intermediate
Stonehenge_2007_2016,1282.0,699.0,817.0,306.0,1214.0,355.0,409.0,284.0,2233.0,161.0,257.0,43.0,1130.0,239.0,3.0,682.0,58.0,129.0,30.0,30.0,2.0,13.0,88.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,53.0,0.0,0.0,11.0,0.0,89.0,79.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,10.0,35.0,0.0,0.0,0.0,3.0,18.0,4.0,0.0,7.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,33.0,7.0,0.0,0.0,12.0,44.0,0.0,0.0,5.0,0.0,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2007,14,SU1100041900,"51.176233, -1.8440251",Green_hay_bush,pH_7,158.8,No,Yes,Yes,Yes,Intermediate
Stonehenge_2005,2866.0,280.0,122.0,517.0,1444.0,308.0,400.0,226.0,1965.0,191.0,959.0,14.0,256.0,242.0,15.0,469.0,26.0,38.0,49.0,30.0,0.0,52.0,78.0,6.0,0.0,2.0,28.0,0.0,0.0,3.0,79.0,4.0,0.0,17.0,0.0,81.0,47.0,0.0,46.0,6.0,0.0,2.0,0.0,0.0,2.0,23.0,0.0,0.0,5.0,3.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2005,16,SU1140042200,"51.178922, -1.8382937",Green_hay_bush,pH_7,145.0,No,No,Yes,Yes,Intermediate
