index,k__Eukaryota_kgd_Incertae_sedis,k__Fungi,k__Rhizaria,Unassigned,k__Ichthyosporia,k__Stramenopila,k__Viridiplantae,k__Metazoa,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Age_category
NorringtonMannorFm_2,1258.0,9706.0,12.0,24.0,0.0,0.0,0.0,0.0,46.0,2009,12,ST9699420390,"50.982907, -2.0441957",seed_mix,pH_8,28.5,No,No,Yes,No,Intermediate
ManorFmBerwickStJohn_1,1088.0,9751.0,131.0,30.0,0.0,0.0,0.0,0.0,47.0,2014,7,ST9468023123,"51.007466, -2.0772007",seed_mix,pH_7,17.83,Yes,Yes,Yes,No,New
ManorFmBerwickStJohn_3,1320.0,9433.0,236.0,5.0,6.0,0.0,0.0,0.0,48.0,2018,3,ST9422022841,"51.004926, -2.0837525",seed_mix,pH_8,23.0,Yes,Yes,Yes,No,New
Jemma_1,3128.0,7858.0,6.0,8.0,0.0,0.0,0.0,0.0,49.0,2010,11,SU1405276456,"51.486882, -1.7990143",Green_hay_bush,pH_8,33.5,Yes,Yes,Yes,No,Intermediate
Jemma_2,4293.0,6468.0,90.0,149.0,0.0,0.0,0.0,0.0,50.0,2008,13,SU1194873670,"51.46188, -1.8294093",Natural_regen,pH_7,104.2,No,Yes,No,No,Intermediate
Jemma_7,3460.0,7479.0,21.0,15.0,25.0,0.0,0.0,0.0,51.0,2014,7,SU1641473039,"51.456096, -1.7651546",Green_hay_bush,pH_7,106.1,No,No,Yes,Yes,New
Jemma_4,2979.0,7954.0,53.0,14.0,0.0,0.0,0.0,0.0,52.0,2015,6,SU1261971802,"51.44507, -1.8198169",Green_hay_bush,pH_7,145.8,Yes,Yes,Yes,No,New
Jemma_5,2198.0,8744.0,34.0,24.0,0.0,0.0,0.0,0.0,53.0,2015,6,SU1538172691,"51.452995, -1.7800368",seed_mix,pH_8,77.7,Yes,No,Yes,No,New
Jemma_6,2812.0,8110.0,6.0,68.0,4.0,0.0,0.0,0.0,54.0,2013,8,SU1560872573,"51.451928, -1.7767752",seed_mix,pH_8,66.9,Yes,No,Yes,No,New
Jemma_9,6238.0,4743.0,8.0,11.0,0.0,0.0,0.0,0.0,55.0,2015,6,SU1669072674,"51.452806, -1.7611995",seed_mix,pH_8,104.9,Yes,No,Yes,No,New
HomeFarm_WoodlandTrust_Hampshire_good_1c,38.0,10898.0,43.0,21.0,0.0,0.0,0.0,0.0,56.0,1994,27,SU6579941829,"51.171925, -1.0602025",seed_mix,pH_6,28.4,No,Yes,No,No,Old
Crux_easton_70b1,3761.0,7201.0,10.0,2.0,26.0,0.0,0.0,0.0,57.0,2000,21,SU4192556251,"51.303843, -1.3999827",seed_mix,pH_7,80.7,No,No,Yes,Yes,Old
Crux_easton_70b2,2300.0,8629.0,29.0,42.0,0.0,0.0,0.0,0.0,58.0,2002,19,SU4195056550,"51.306529, -1.399589",seed_mix,pH_8,76.3,Yes,No,Yes,No,Intermediate
Martin_Down_arabel_reversion,1944.0,8906.0,89.0,61.0,0.0,0.0,0.0,0.0,59.0,1957,64,SU0390520162,"50.980853, -1.9457471",Natural_regen,pH_8,115.8,No,No,Yes,Yes,Old
Parsonage_down_reversion,3780.0,6952.0,159.0,104.0,0.0,5.0,0.0,0.0,60.0,1945,76,SU0610341686,"51.174381, -1.9140803",Natural_regen,pH_8,89.8,No,Yes,No,Yes,Old
TARGET_MartinDown,1330.0,9292.0,305.0,73.0,0.0,0.0,0.0,0.0,,old,>100,SU0558918665,"50.967378, -1.9217813",Natural_regen,pH_8,104.9,No,No,Yes,No,Very Old
TARGET_St_Catherines,1986.0,8626.0,143.0,245.0,0.0,0.0,0.0,0.0,62.0,old,>100,SU4832527522,"51.045025, -1.3120365",Natural_regen,pH_7,184.8,No,No,Yes,No,Very Old
TARGET_ParsonageDown,4616.0,5931.0,183.0,265.0,2.0,3.0,0.0,0.0,63.0,old,>100,SU0552141345,"51.17132, -1.9224106",Natural_regen,pH_8,112.3,No,No,Yes,No,Very Old
TARGET_KNEPP_A New_Barn_Field,581.0,9634.0,641.0,83.0,61.0,0.0,0.0,0.0,64.0,2006,15,TQ1420019600,"50.964513, -0.3751305",Natural_regen,pH_6,48.7,No,Yes,No,,Intermediate
Knepp_Pond_field,408.0,10151.0,62.0,379.0,0.0,0.0,0.0,0.0,65.0,2003,18,TQ1410019300,"50.961836, -0.3766479",Natural_regen,pH_6,23.5,No,Yes,No,,Intermediate
Knepp_Benton_field,276.0,9730.0,281.0,667.0,46.0,0.0,0.0,0.0,66.0,2005,16,TQ1450019800,"50.966251, -0.37079737",Natural_regen,pH_6,27.6,No,Yes,No,,Intermediate
