index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Mortierellomycota,k__Fungi;__,k__Fungi;p__Fungi_phy_Incertae_sedis,k__Fungi;p__Zoopagomycota,k__Rhizaria;p__Cercozoa,k__Fungi;p__Rozellomycota,Unassigned;__,k__Fungi;p__Chytridiomycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Olpidiomycota,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis,k__Fungi;p__Monoblepharomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mucoromycota,k__Stramenopila;p__Ochrophyta,k__Viridiplantae;p__Anthophyta,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Sanchytriomycota,k__Metazoa;p__Chordata,k__Fungi;p__Basidiobolomycota,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Age_category
Jemma_5,2198.0,3233.0,1137.0,2942.0,964.0,194.0,97.0,34.0,16.0,24.0,139.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2015,6,SU1538172691,"51.452995, -1.7800368",seed_mix,pH_8,77.7,Yes,No,Yes,No,New
Jemma_6,2812.0,3610.0,1483.0,1850.0,494.0,302.0,186.0,6.0,66.0,68.0,81.0,26.0,7.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2013,8,SU1560872573,"51.451928, -1.7767752",seed_mix,pH_8,66.9,Yes,No,Yes,No,New
Jemma_9,6238.0,1707.0,170.0,1852.0,723.0,124.0,42.0,8.0,14.0,11.0,15.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2015,6,SU1669072674,"51.452806, -1.7611995",seed_mix,pH_8,104.9,Yes,No,Yes,No,New
HomeFarm_WoodlandTrust_Hampshire_good_1c,38.0,4672.0,2694.0,2998.0,39.0,82.0,196.0,43.0,0.0,21.0,207.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1994,27,SU6579941829,"51.171925, -1.0602025",seed_mix,pH_6,28.4,No,Yes,No,No,Old
Crux_easton_70b1,3761.0,2954.0,463.0,2792.0,613.0,203.0,29.0,10.0,44.0,2.0,103.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2000,21,SU4192556251,"51.303843, -1.3999827",seed_mix,pH_7,80.7,No,No,Yes,Yes,Old
Crux_easton_70b2,2300.0,3700.0,543.0,2376.0,1551.0,179.0,68.0,29.0,74.0,42.0,124.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2002,19,SU4195056550,"51.306529, -1.399589",seed_mix,pH_8,76.3,Yes,No,Yes,No,Intermediate
Martin_Down_arabel_reversion,1944.0,4172.0,562.0,3582.0,226.0,235.0,74.0,89.0,22.0,61.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1957,64,SU0390520162,"50.980853, -1.9457471",Natural_regen,pH_8,115.8,No,No,Yes,Yes,Old
Parsonage_down_reversion,3780.0,3727.0,701.0,1961.0,142.0,80.0,231.0,159.0,27.0,104.0,37.0,33.0,0.0,0.0,11.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,60.0,1945,76,SU0610341686,"51.174381, -1.9140803",Natural_regen,pH_8,89.8,No,Yes,No,Yes,Old
TARGET_MartinDown,1330.0,4293.0,640.0,3913.0,227.0,144.0,16.0,305.0,29.0,73.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,old,>100,SU0558918665,"50.967378, -1.9217813",Natural_regen,pH_8,104.9,No,No,Yes,No,Very Old
TARGET_St_Catherines,1986.0,5137.0,918.0,1799.0,273.0,9.0,36.0,143.0,36.0,245.0,28.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,old,>100,SU4832527522,"51.045025, -1.3120365",Natural_regen,pH_7,184.8,No,No,Yes,No,Very Old
TARGET_ParsonageDown,4616.0,3595.0,308.0,1335.0,290.0,76.0,127.0,183.0,36.0,265.0,66.0,94.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,63.0,old,>100,SU0552141345,"51.17132, -1.9224106",Natural_regen,pH_8,112.3,No,No,Yes,No,Very Old
TARGET_KNEPP_A New_Barn_Field,581.0,5215.0,1891.0,1803.0,181.0,195.0,153.0,641.0,22.0,83.0,110.0,15.0,0.0,61.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2006,15,TQ1420019600,"50.964513, -0.3751305",Natural_regen,pH_6,48.7,No,Yes,No,,Intermediate
Knepp_Pond_field,408.0,2506.0,6748.0,773.0,42.0,6.0,3.0,62.0,29.0,379.0,8.0,23.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2003,18,TQ1410019300,"50.961836, -0.3766479",Natural_regen,pH_6,23.5,No,Yes,No,,Intermediate
Knepp_Benton_field,276.0,4576.0,913.0,3524.0,267.0,179.0,120.0,281.0,20.0,667.0,69.0,23.0,5.0,46.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2005,16,TQ1450019800,"50.966251, -0.37079737",Natural_regen,pH_6,27.6,No,Yes,No,,Intermediate
