index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis,k__Fungi;p__Ascomycota;__,k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,Unassigned;__;__,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporea,k__Fungi;p__Ascomycota;c__GS35,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Zoopagomycota;c__Zoopagomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Sareomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycota_cls_Incertae_sedis,k__Fungi;p__Chytridiomycota;c__Lobulomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Kickxellomycota;c__Ramicandelaberomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Monoblepharomycota;c__Hyaloraphidiomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Chytridiomycota;c__GS14,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes,k__Fungi;p__Blastocladiomycota;c__Physodermatomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Stramenopila;p__Ochrophyta;c__Bacillariophyceae,k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Sanchytriomycota;c__Sanchytriomycetes,k__Metazoa;p__Chordata;c__Actinopterygii,k__Fungi;p__Mortierellomycota;c__Mortierellomycota_cls_Incertae_sedis,k__Fungi;p__Monoblepharomycota;__,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporia_cls_Incertae_sedis,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Age_category
Stonehenge_2002_2017,2119.0,545.0,2021.0,431.0,2172.0,213.0,1217.0,538.0,744.0,100.0,215.0,7.0,15.0,43.0,72.0,25.0,0.0,52.0,11.0,0.0,0.0,126.0,17.0,125.0,17.0,6.0,22.0,0.0,60.0,11.0,0.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2002,19,SU1480043200,"51.187837, -1.7896132",Green_hay_bush,pH_7,130.3,No,Yes,Yes,Yes,Intermediate
Stonehenge_2010,1859.0,840.0,2900.0,423.0,1388.0,414.0,632.0,345.0,741.0,469.0,309.0,0.0,42.0,18.0,34.0,54.0,6.0,215.0,70.0,0.0,0.0,16.0,5.0,57.0,5.0,55.0,1.0,0.0,66.0,0.0,21.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2010,11,SU1070043000,"51.186129, -1.8482842",Green_hay_bush,pH_7,202.0,No,Yes,Yes,Yes,Intermediate
Stonehenge_2011,1795.0,758.0,3223.0,296.0,789.0,325.0,1086.0,545.0,948.0,232.0,242.0,0.0,52.0,55.0,14.0,95.0,11.0,167.0,98.0,0.0,0.0,65.0,10.0,40.0,27.0,46.0,3.0,0.0,20.0,4.0,0.0,7.0,1.0,7.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2011,10,SU1050043600,"51.191528, -1.8511284",Green_hay_bush,pH_7,174.3,No,Yes,Yes,Yes,New
Stonehenge_-_Luxenborough_BankB,2539.0,1335.0,3088.0,632.0,1193.0,601.0,394.0,226.0,27.0,344.0,165.0,0.0,15.0,36.0,41.0,214.0,10.0,58.0,2.0,0.0,0.0,4.0,0.0,40.0,18.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2000,21,SU1290041900,"51.176193, -1.8168457",Green_hay_bush,pH_7,186.6,Yes,No,Yes,Yes,Old
Watlington_natural_reversion,3508.0,292.0,1045.0,452.0,2342.0,280.0,1264.0,437.0,263.0,39.0,264.0,0.0,124.0,5.0,180.0,27.0,0.0,52.0,0.0,61.0,0.0,186.0,0.0,41.0,114.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2000,21,SU7050293600,"51.636798, -0.98266944",Natural_regen,pH_7,147.5,No,No,Yes,No,Old
St_Catherines_A3,3038.0,694.0,2789.0,91.0,1563.0,176.0,350.0,1272.0,136.0,89.0,61.0,0.0,0.0,0.0,74.0,13.0,5.0,103.0,71.0,153.0,0.0,170.0,8.0,14.0,70.0,0.0,0.0,10.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1994,27,SU4812327449,"51.044386, -1.3149275",Green_hay_bush,pH_7,222.0,Yes,Yes,Yes,No,Old
HARLEY_FARMS_Chittern,3552.0,1346.0,2794.0,359.0,694.0,501.0,507.0,349.0,94.0,134.0,75.0,10.0,26.0,40.0,51.0,114.0,3.0,50.0,78.0,5.0,0.0,59.0,2.0,44.0,5.0,4.0,0.0,0.0,48.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2013,8,ST9762044730,"51.201778, -2.0354461",seed_mix,pH_7,197.9,Yes,Yes,No,Yes,New
HARLEY_FARMS_New1,1371.0,474.0,5005.0,356.0,401.0,1119.0,357.0,192.0,148.0,803.0,206.0,24.0,41.0,44.0,16.0,132.0,5.0,173.0,4.0,0.0,0.0,52.0,5.0,24.0,2.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2020,1,ST9346829822,"51.067692, -2.0945983",seed_mix,pH_7,144.1,No,Yes,No,No,New
HARLEY_FARMS_new2b,801.0,205.0,4516.0,1566.0,607.0,213.0,492.0,469.0,24.0,1272.0,137.0,21.0,8.0,198.0,142.0,71.0,1.0,186.0,0.0,0.0,0.0,8.0,22.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2020,1,ST9242629613,"51.065799, -2.1094648",seed_mix,pH_7,102.5,Yes,No,No,No,New
WINDMILL_farm,1051.0,1056.0,3484.0,609.0,1544.0,285.0,535.0,610.0,203.0,233.0,43.0,17.0,13.0,4.0,341.0,263.0,14.0,398.0,6.0,25.0,0.0,19.0,30.0,109.0,5.0,0.0,0.0,3.0,19.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1990,31,SU7176229761,"51.06271, -0.97732036",seed_mix,pH_7,210.0,Yes,Yes,Yes,Yes,Old
