index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis,k__Fungi;p__Ascomycota;__,k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,Unassigned;__;__,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporea,k__Fungi;p__Ascomycota;c__GS35,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Zoopagomycota;c__Zoopagomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Sareomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycota_cls_Incertae_sedis,k__Fungi;p__Chytridiomycota;c__Lobulomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Kickxellomycota;c__Ramicandelaberomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Monoblepharomycota;c__Hyaloraphidiomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Chytridiomycota;c__GS14,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes,k__Fungi;p__Blastocladiomycota;c__Physodermatomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Stramenopila;p__Ochrophyta;c__Bacillariophyceae,k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Sanchytriomycota;c__Sanchytriomycetes,k__Metazoa;p__Chordata;c__Actinopterygii,k__Fungi;p__Mortierellomycota;c__Mortierellomycota_cls_Incertae_sedis,k__Fungi;p__Monoblepharomycota;__,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporia_cls_Incertae_sedis,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Age_category
DRUIDS,1218.0,1747.0,3980.0,231.0,1174.0,794.0,381.0,715.0,120.0,261.0,80.0,9.0,11.0,15.0,44.0,107.0,4.0,28.0,0.0,0.0,0.0,12.0,1.0,30.0,0.0,2.0,0.0,0.0,4.0,23.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2002,19,SU2964250324,"51.251319, -1.5766624",seed_mix,pH_7,176.3,Yes,Yes,Yes,Yes,Intermediate
Stratton_Wood,676.0,428.0,1878.0,652.0,2985.0,1359.0,1195.0,508.0,147.0,481.0,131.0,107.0,192.0,1.0,22.0,69.0,13.0,25.0,5.0,0.0,0.0,54.0,1.0,20.0,7.0,0.0,2.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1995,26,SU1647289260,"51.601942, -1.7635665",seed_mix,pH_7,126.8,Yes,No,No,Yes,Old
WESTMEAD_FARM,1785.0,479.0,1894.0,146.0,2352.0,706.0,1191.0,325.0,698.0,871.0,14.0,13.0,83.0,9.0,10.0,64.0,0.0,196.0,58.0,0.0,0.0,39.0,0.0,3.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2000,21,SU6317525168,"51.022422, -1.1006408",seed_mix,pH_7,159.0,Yes,No,Yes,No,Old
RSPB_orig_green,3098.0,737.0,1587.0,360.0,1124.0,1119.0,1496.0,142.0,725.0,130.0,172.0,0.0,61.0,39.0,15.0,0.0,0.0,67.0,18.0,0.0,0.0,16.0,39.0,3.0,0.0,9.0,3.0,0.0,33.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2006,15,SU2135640329,"51.161815, -1.6959767",Green_hay_bush,pH_7,138.1,No,Yes,Yes,No,Intermediate
RSPB_churchil,3534.0,939.0,1599.0,296.0,971.0,799.0,1119.0,181.0,534.0,125.0,224.0,0.0,73.0,54.0,29.0,106.0,0.0,184.0,54.0,10.0,0.0,44.0,15.0,44.0,6.0,0.0,5.0,7.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2010,11,SU2075340336,"51.1619, -1.7045994",Green_hay_bush,pH_8,116.8,No,No,Yes,No,Intermediate
RSPB_junction,1608.0,363.0,2056.0,462.0,2185.0,524.0,1859.0,435.0,798.0,178.0,94.0,0.0,14.0,2.0,36.0,78.0,1.0,46.0,110.0,0.0,0.0,82.0,6.0,12.0,10.0,11.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2007,14,SU2267739280,"51.152332, -1.6771517",Green_hay_bush,pH_8,24.6,No,No,Yes,No,Intermediate
RSPB_Mainline,4284.0,190.0,2614.0,205.0,1330.0,228.0,641.0,240.0,368.0,144.0,92.0,12.0,129.0,2.0,11.0,182.0,4.0,96.0,3.0,0.0,0.0,81.0,78.0,19.0,0.0,8.0,0.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2016,5,SU2250539212,"51.151728, -1.6796151",Green_hay_bush,pH_8,23.4,No,No,Yes,No,New
Baltic_farm_1,891.0,787.0,4601.0,158.0,932.0,1187.0,1600.0,81.0,37.0,63.0,273.0,0.0,0.0,64.0,17.0,91.0,0.0,148.0,52.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2005,16,SU0459767825,"51.40943, -1.9352946",Green_hay_bush,pH_7,29.2,Yes,Yes,Yes,No,Intermediate
Baltic_farm_2,6680.0,346.0,430.0,315.0,1564.0,683.0,314.0,0.0,55.0,145.0,37.0,0.0,5.0,45.0,4.0,18.0,0.0,3.0,1.0,0.0,133.0,145.0,0.0,6.0,0.0,0.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1998,23,SU0306867167,"51.403524, -1.9572835",Green_hay_bush,pH_8,29.6,Yes,Yes,Yes,No,Old
WestEndFarm,6388.0,147.0,1898.0,294.0,944.0,282.0,258.0,63.0,0.0,247.0,117.0,44.0,22.0,13.0,0.0,83.0,0.0,40.0,0.0,0.0,15.0,0.0,50.0,22.0,1.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019,2,SU0297366901,"51.401133, -1.9586514",Green_hay_bush,pH_8,24.1,Yes,No,Yes,Yes,New
HorntonHouseFarm_1_parallel,3697.0,1148.0,2183.0,463.0,1592.0,766.0,229.0,51.0,39.0,114.0,58.0,119.0,29.0,171.0,0.0,135.0,0.0,4.0,0.0,11.0,0.0,64.0,55.0,3.0,0.0,0.0,54.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2016,5,SU0584565118,"51.385079, -1.917395",seed_mix,pH_8,29.5,Yes,Yes,Yes,No,New
TownsendFarm_1,3250.0,1408.0,2140.0,422.0,1601.0,437.0,433.0,103.0,114.0,159.0,62.0,13.0,48.0,61.0,168.0,124.0,20.0,92.0,82.0,0.0,0.0,27.0,62.0,13.0,76.0,6.0,0.0,0.0,18.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2017,4,SU0775065316,"51.386837, -1.8900159",seed_mix,pH_8,36.6,Yes,No,Yes,No,New
TownsendFarm_2,4190.0,2263.0,653.0,391.0,1134.0,789.0,371.0,129.0,186.0,0.0,18.0,16.0,0.0,12.0,7.0,90.0,101.0,11.0,99.0,7.0,15.0,434.0,7.0,40.0,0.0,0.0,0.0,0.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2010,11,SU0705164722,"51.381505, -1.9000725",seed_mix,pH_8,21.2,Yes,No,Yes,No,Intermediate
TownsendFarm_3_big,3458.0,1717.0,2511.0,173.0,981.0,515.0,393.0,135.0,61.0,281.0,42.0,0.0,8.0,3.0,316.0,97.0,1.0,125.0,19.0,0.0,0.0,19.0,16.0,18.0,8.0,1.0,0.0,12.0,28.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2014,7,SU0886965184,"51.385634, -1.8739384",Green_hay_bush,pH_7,42.7,Yes,No,Yes,No,New
ChurchFarm,1437.0,996.0,2290.0,78.0,542.0,514.0,474.0,918.0,178.0,176.0,466.0,2464.0,87.0,12.0,23.0,56.0,4.0,74.0,7.0,88.0,0.0,17.0,5.0,8.0,0.0,0.0,4.0,0.0,21.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2012,9,SU0979864321,"51.377859, -1.8606121",seed_mix,pH_8,20.7,Yes,Yes,Yes,No,New
StowellFarms_1_adj,680.0,91.0,2136.0,3522.0,1159.0,236.0,370.0,1469.0,412.0,4.0,4.0,127.0,4.0,0.0,44.0,15.0,2.0,9.0,0.0,540.0,0.0,5.0,81.0,61.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,2015,6,SU1362464180,"51.376513, -1.8056466",seed_mix,pH_6,21.8,Yes,Yes,Yes,Yes,New
MannorFmAltonBarnes,931.0,959.0,2947.0,308.0,574.0,429.0,1180.0,377.0,1191.0,102.0,392.0,198.0,73.0,427.0,55.0,79.0,19.0,126.0,87.0,38.0,0.0,215.0,43.0,30.0,10.0,7.0,6.0,37.0,71.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,9.0,12.0,3.0,0.0,8.0,0.0,5.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,2012,9,SU1211561331,"51.35093, -1.827423",seed_mix,pH_8,21.6,Yes,Yes,Yes,No,New
HommingtonFarm,1242.0,200.0,1168.0,193.0,1571.0,385.0,1446.0,171.0,4212.0,89.0,67.0,0.0,0.0,61.0,0.0,12.0,0.0,25.0,92.0,1.0,0.0,28.0,12.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2014,7,SU1332825982,"51.033048, -1.811306",seed_mix,pH_8,26.3,Yes,Yes,Yes,Yes,New
ThropeManor_1,709.0,1977.0,3566.0,878.0,471.0,347.0,420.0,908.0,370.0,122.0,38.0,2.0,12.0,21.0,733.0,53.0,13.0,61.0,23.0,16.0,0.0,62.0,13.0,89.0,0.0,0.0,2.0,0.0,8.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2002,19,SU0886123850,"51.013962, -1.8750607",seed_mix,pH_7,78.1,Yes,No,Yes,No,Intermediate
ThropeManor_2,1368.0,830.0,2612.0,694.0,2022.0,507.0,570.0,887.0,932.0,188.0,26.0,8.0,11.0,43.0,50.0,21.0,7.0,29.0,31.0,71.0,0.0,24.0,32.0,7.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1998,23,SU0843924348,"51.018447, -1.8810649",seed_mix,pH_7,28.8,Yes,No,Yes,Yes,Old
ThropeManor_3,2228.0,1426.0,1995.0,765.0,2161.0,470.0,618.0,284.0,121.0,232.0,60.0,8.0,6.0,8.0,67.0,51.0,0.0,75.0,302.0,0.0,0.0,23.0,13.0,0.0,2.0,31.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2000,21,SU0901525189,"51.026001, -1.8728325",seed_mix,pH_8,28.5,Yes,No,Yes,No,Old
MannorFmBroadChalke,1225.0,844.0,1902.0,542.0,1877.0,462.0,1080.0,370.0,1631.0,174.0,85.0,6.0,91.0,342.0,78.0,110.0,0.0,67.0,0.0,2.0,0.0,10.0,4.0,30.0,40.0,3.0,0.0,16.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2010,11,SU0468023121,"51.007455, -1.9346701",Green_hay_bush,pH_8,24.3,No,No,Yes,No,Intermediate
BigleyFm_1,5394.0,564.0,1386.0,378.0,948.0,624.0,217.0,541.0,404.0,118.0,89.0,0.0,27.0,3.0,114.0,12.0,0.0,15.0,78.0,30.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2014,7,ST9798720966,"50.988091, -2.0300532",seed_mix,pH_8,31.3,Yes,Yes,Yes,Yes,New
BigleyFm_2,1003.0,1453.0,2659.0,658.0,1750.0,693.0,339.0,605.0,1102.0,147.0,26.0,0.0,2.0,43.0,267.0,28.0,24.0,24.0,57.0,0.0,0.0,8.0,29.0,20.0,3.0,5.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,2017,4,ST9796821801,"50.9956, -2.0303288",seed_mix,pH_7,46.8,Yes,Yes,Yes,Yes,New
NorringtonMannorFm_1,5022.0,1774.0,1665.0,132.0,576.0,677.0,304.0,91.0,152.0,133.0,82.0,3.0,6.0,14.0,36.0,74.0,5.0,47.0,49.0,0.0,0.0,55.0,2.0,33.0,3.0,6.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2009,12,ST9689721419,"50.99216, -2.0455866",seed_mix,pH_7,33.5,No,No,Yes,Yes,Intermediate
NorringtonMannorFm_2,1258.0,463.0,1572.0,156.0,1319.0,914.0,2295.0,984.0,1321.0,255.0,49.0,0.0,55.0,5.0,12.0,45.0,1.0,39.0,10.0,0.0,0.0,24.0,0.0,36.0,36.0,1.0,3.0,14.0,7.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2009,12,ST9699420390,"50.982907, -2.0441957",seed_mix,pH_8,28.5,No,No,Yes,No,Intermediate
ManorFmBerwickStJohn_1,1088.0,995.0,2432.0,801.0,1644.0,212.0,921.0,1039.0,1213.0,261.0,38.0,1.0,8.0,2.0,131.0,68.0,1.0,13.0,8.0,5.0,0.0,30.0,15.0,13.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2014,7,ST9468023123,"51.007466, -2.0772007",seed_mix,pH_7,17.83,Yes,Yes,Yes,No,New
ManorFmBerwickStJohn_3,1320.0,989.0,2309.0,860.0,1918.0,735.0,347.0,718.0,1244.0,97.0,33.0,5.0,0.0,41.0,236.0,17.0,4.0,34.0,22.0,0.0,0.0,5.0,24.0,3.0,0.0,1.0,0.0,1.0,15.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2018,3,ST9422022841,"51.004926, -2.0837525",seed_mix,pH_8,23.0,Yes,Yes,Yes,No,New
Jemma_1,3128.0,146.0,861.0,235.0,1658.0,2022.0,538.0,156.0,160.0,978.0,607.0,0.0,74.0,2.0,6.0,128.0,10.0,35.0,4.0,0.0,0.0,8.0,19.0,14.0,89.0,0.0,4.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2010,11,SU1405276456,"51.486882, -1.7990143",Green_hay_bush,pH_8,33.5,Yes,Yes,Yes,No,Intermediate
Jemma_2,4293.0,462.0,1443.0,335.0,2611.0,528.0,327.0,62.0,78.0,190.0,125.0,2.0,32.0,67.0,90.0,59.0,0.0,33.0,16.0,34.0,0.0,149.0,8.0,13.0,2.0,6.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2008,13,SU1194873670,"51.46188, -1.8294093",Natural_regen,pH_7,104.2,No,Yes,No,No,Intermediate
Jemma_7,3460.0,894.0,2424.0,522.0,1730.0,696.0,247.0,122.0,165.0,146.0,100.0,1.0,19.0,13.0,21.0,104.0,5.0,163.0,0.0,5.0,0.0,15.0,20.0,20.0,41.0,11.0,2.0,5.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2014,7,SU1641473039,"51.456096, -1.7651546",Green_hay_bush,pH_7,106.1,No,No,Yes,Yes,New
