Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
1940-60,1981-2000,16,999,1.368974230180332,0.141,0.282
1940-60,2001-2010,26,999,1.3406627318813458,0.126,0.282
1940-60,2011-2020,25,999,1.3974921109521758,0.126,0.282
1981-2000,2001-2010,38,999,0.8401234811773403,0.702,0.702
1981-2000,2011-2020,37,999,1.004338931375743,0.408,0.4895999999999999
2001-2010,2011-2020,47,999,0.9930432089493814,0.404,0.4895999999999999
