sample ID	forward sequence count	reverse sequence count
GP415	51489	51489
GP328	51035	51035
GP327	50803	50803
GP255	49430	49430
GP293	45035	45035
GP345	44917	44917
GP429	41613	41613
GP329	38018	38018
GP370	36859	36859
GP289	36329	36329
GP462	36015	36015
GP295	30872	30872
