Group 1,Group 2,H,p-value,q-value
10;nan (n=1),11;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),12;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),13;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),14;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),15;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),16;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),17;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),18;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),19;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),1;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),21;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),22;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),23;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),24;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),25;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),26;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),27;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),28;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),29;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),2;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),30;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),31;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),32;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),33;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),34;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),35;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),36;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),38;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),39;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),3;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
10;nan (n=1),40;nan (n=1),1.0,0.31731050786291115,0.32616180097698183
