#SampleID	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough	Year_est_clean	Age_clean	Year_group	Age_group
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	categorical	numeric	numeric	categorical	categorical
ThropeManor_3	2000	21	SU0901525189	51.026001; -1.8728325	seed_mix	8.13	28.5	yes	no	yes	no	2000	21	1981-2000	21-30
MannorFmBroadChalke	2010	11	SU0468023121	51.007455; -1.9346701	Green_hay/bush	8.24	24.3	no	no	yes	no	2010	11	2001-2010	11-20
BigleyFm_1	2014	7	ST9798720966	50.988091; -2.0300532	seed_mix	8.1	31.3	yes	yes	yes	yes	2014	7	2011-2020	0-10
BigleyFm_2	2017	4	ST9796821801	50.9956; -2.0303288	seed_mix	7.35	46.8	yes	yes	yes	yes	2017	4	2011-2020	0-10
NorringtonMannorFm_1	2009	12	ST9689721419	50.99216; -2.0455866	seed_mix	7.83	33.5	no	no	yes	yes	2009	12	2001-2010	11-20
NorringtonMannorFm_2	2009	12	ST9699420390	50.982907; -2.0441957	seed_mix	8.2	28.5	no	no	yes	no	2009	12	2001-2010	11-20
ManorFmBerwickStJohn_1	2014	7	ST9468023123	51.007466; -2.0772007	seed_mix	7.47	17.83	yes	yes	yes	no	2014	7	2011-2020	0-10
ManorFmBerwickStJohn_3	2018	3	ST9422022841	51.004926; -2.0837525	seed_mix	8.36	23	yes	yes	yes	no	2018	3	2011-2020	0-10
Jemma_1	2010	11	SU1405276456	51.486882; -1.7990143	Green_hay/bush	8.31	33.5	yes	yes	yes	no	2010	11	2001-2010	11-20
Jemma_2	2008	13	SU1194873670	51.46188; -1.8294093	Natural_regen	7.96	104.2	no	yes	no	no	2008	13	2001-2010	11-20
Jemma_7	2014	7	SU1641473039	51.456096; -1.7651546	Green_hay/bush	7.95	106.1	no	no	yes	yes	2014	7	2011-2020	0-10
Jemma_4	2015	6	SU1261971802	51.44507; -1.8198169	Green_hay/bush	7.31	145.8	yes	yes	yes	no	2015	6	2011-2020	0-10
Jemma_5	2015	6	SU1538172691	51.452995; -1.7800368	seed_mix	8.2	77.7	yes	no	yes	no	2015	6	2011-2020	0-10
Jemma_6	2013	8	SU1560872573	51.451928; -1.7767752	seed_mix	8.54	66.9	yes	no	yes	no	2013	8	2011-2020	0-10
Jemma_9	2015	6	SU1669072674	51.452806; -1.7611995	seed_mix	8.22	104.9	yes	no	yes	no	2015	6	2011-2020	0-10
HomeFarm_WoodlandTrust_Hampshire_good_1c	1994	27	SU6579941829	51.171925; -1.0602025	seed_mix	6.62	28.4	no	yes	no	no	1994	27	1981-2000	21-30
Crux_easton_70b1	2000	21	SU4192556251	51.303843; -1.3999827	seed_mix	7.78	80.7	no	no	yes	yes	2000	21	1981-2000	21-30
Crux_easton_70b2	2002	19	SU4195056550	51.306529; -1.399589	seed_mix	8.4	76.3	yes	no	yes	no	2002	19	2001-2010	11-20
Martin_Down_arabel_reversion	1957	64	SU0390520162	50.980853; -1.9457471	Natural_regen	8.23	115.8	no	no	yes	yes	1957	64	1940-60	61-70
Parsonage_down_reversion	1945	76	SU0610341686	51.174381; -1.9140803	Natural_regen	8.12	89.8	no	yes	no	yes	1945	76	1940-60	71-100
TARGET_MartinDown	old	>100	SU0558918665	50.967378; -1.9217813	Natural_regen	8.05	104.9	no	no	yes	unknown		101		100+
TARGET_St_Catherines	old	>100	SU4832527522	51.045025; -1.3120365	Natural_regen	7.95	184.8	no	no	yes	unknown		101		100+
TARGET_ParsonageDown	old	>100	SU0552141345	51.17132; -1.9224106	Natural_regen	8.06	112.3	no	no	yes	unknown		101		100+
TARGET_KNEPP_A New_Barn_Field	2006	15	TQ1420019600	50.964513; -0.3751305	Natural_regen	6.72	48.7	no	yes	no	unknown	2006	15	2001-2010	11-20
Knepp_Pond_field	2003	18	TQ1410019300	50.961836; -0.3766479	Natural_regen	6.62	23.5	no	yes	no	unknown	2003	18	2001-2010	11-20
Knepp_Benton_field	2005	16	TQ1450019800	50.966251; -0.37079737	Natural_regen	6.52	27.6	no	yes	no	unknown	2005	16	2001-2010	11-20
