index,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Actinobacteria;c__MB-A2-108,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,k__Bacteria;p__Acidobacteria;c__iii1-8,k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria],k__Bacteria;p__Actinobacteria;__,k__Bacteria;p__Acidobacteria;c__PAUC37f,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria,k__Bacteria;p__;c__,k__Bacteria;__;__,k__Bacteria;p__Gemmatimonadetes;c__Gemm-1,k__Bacteria;p__Nitrospirae;c__Nitrospira,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Planctomycetes;c__Planctomycetia,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Acidobacteria;c__Sva0725,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,k__Bacteria;p__Acidobacteria;c__Solibacteres,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Chloroflexi;c__TK10,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],k__Bacteria;p__Bacteroidetes;c__[Saprospirae],k__Bacteria;p__Acidobacteria;c__BPC102,k__Bacteria;p__Acidobacteria;c__S035,k__Bacteria;p__Acidobacteria;c__DA052,k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5,k__Bacteria;p__Acidobacteria;c__RB25,k__Bacteria;p__Planctomycetes;c__,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,k__Bacteria;p__Gemmatimonadetes;c__Gemm-5,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,k__Bacteria;p__Chloroflexi;c__S085,k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__Armatimonadetes;c__0319-6E2,k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae],k__Bacteria;p__Chloroflexi;c__Anaerolineae,k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Verrucomicrobia;c__Opitutae,k__Bacteria;p__Chloroflexi;c__Chloroflexi,k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__Gemmatimonadetes;c__Gemm-2,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Chloroflexi;c__TK17,k__Bacteria;p__Gemmatimonadetes;c__,k__Bacteria;p__Planctomycetes;c__C6,k__Bacteria;p__Acidobacteria;c__,k__Bacteria;p__Chloroflexi;c__,k__Bacteria;p__Planctomycetes;c__vadinHA49,k__Bacteria;p__Gemmatimonadetes;c__Gemm-3,k__Bacteria;p__Planctomycetes;c__Pla4,k__Bacteria;p__Planctomycetes;c__Pla3,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__NC10;c__wb1-A12,k__Bacteria;p__Acidobacteria;__,k__Bacteria;p__Chlorobi;c__SJA-28,k__Bacteria;p__Armatimonadetes;c__Armatimonadia,k__Bacteria;p__Acidobacteria;c__Holophagae,k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__TM7;c__SC3,k__Bacteria;p__Acidobacteria;c__EC1113,k__Bacteria;p__Proteobacteria;c__TA18,k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Acidobacteria;c__TM1,k__Bacteria;p__Armatimonadetes;c__,k__Bacteria;p__WPS-2;c__,k__Bacteria;p__Actinobacteria;c__OPB41,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__OD1;c__,k__Bacteria;p__BRC1;c__PRR-11,k__Bacteria;p__Chlorobi;c__BSV26,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],k__Bacteria;p__Chloroflexi;c__SHA-26,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,k__Bacteria;p__Verrucomicrobia;__,k__Bacteria;p__NC10;c__12-24,k__Bacteria;p__Chloroflexi;__,k__Bacteria;p__Cyanobacteria;c__4C0d-2,k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__GAL15;c__,k__Bacteria;p__Chloroflexi;c__[Thermobacula],k__Bacteria;p__Spirochaetes;c__Spirochaetes,k__Bacteria;p__TM6;c__SJA-4,k__Bacteria;p__GN04;c__5bav_B12,k__Bacteria;p__NKB19;__,k__Bacteria;p__Actinobacteria;c__Nitriliruptoria,k__Bacteria;p__Chlamydiae;c__Chlamydiia,k__Bacteria;p__Verrucomicrobia;c__,k__Bacteria;p__Planctomycetes;c__BD7-11,k__Bacteria;p__OD1;c__SM2F11,k__Bacteria;p__[Thermi];c__Deinococci,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,k__Bacteria;p__WS2;c__SHA-109,k__Bacteria;p__OP11;c__OP11-4,k__Bacteria;p__Chlorobi;c__,k__Bacteria;p__Cyanobacteria;__,k__Bacteria;p__TM7;c__,k__Bacteria;p__Tenericutes;c__Mollicutes,k__Bacteria;p__Gemmatimonadetes;c__Gemm-4,k__Bacteria;p__NKB19;c__SHAB590,k__Bacteria;p__OP11;c__,k__Bacteria;p__WS4;c__,k__Bacteria;p__Fusobacteria;c__Fusobacteriia,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,k__Bacteria;p__NKB19;c__,k__Bacteria;p__Planctomycetes;__,k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae],k__Bacteria;p__Bacteroidetes;c__[Rhodothermi],k__Bacteria;p__Armatimonadetes;c__OPB50,k__Bacteria;p__GOUTA4;c__,k__Bacteria;p__Chlorobi;c__OPB56,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Bacteria;p__AD3;c__,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough
Whitelands_2018/19_,1272.0,1124.0,3716.0,1168.0,471.0,4586.0,3013.0,3756.0,1083.0,795.0,75.0,337.0,280.0,129.0,543.0,81.0,525.0,55.0,221.0,243.0,190.0,296.0,37.0,284.0,162.0,91.0,106.0,66.0,30.0,98.0,89.0,57.0,69.0,138.0,99.0,21.0,15.0,0.0,14.0,9.0,0.0,43.0,11.0,0.0,4.0,19.0,37.0,8.0,20.0,46.0,8.0,0.0,12.0,32.0,8.0,14.0,6.0,6.0,0.0,0.0,5.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,3,SU2990087100,51.581972; -1.5698756,seed_mix,8.03,136.4,0.0,0.0,1.0,1
Castle_Field_West_(W),1166.0,1885.0,5030.0,1398.0,271.0,3450.0,1987.0,3303.0,1425.0,772.0,82.0,225.0,353.0,359.0,390.0,155.0,165.0,100.0,418.0,306.0,168.0,194.0,22.0,240.0,189.0,36.0,25.0,90.0,12.0,79.0,8.0,23.0,37.0,145.0,96.0,19.0,11.0,0.0,0.0,0.0,7.0,28.0,6.0,0.0,54.0,0.0,95.0,11.0,14.0,6.0,13.0,0.0,17.0,40.0,17.0,0.0,2.0,7.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002,19,SU2950086200,51.573901; -1.5757235,seed_mix,7.93,139.3,0.0,1.0,1.0,1
Toposcope_Field_-_1980s,2194.0,2065.0,6901.0,1815.0,233.0,4441.0,2410.0,4456.0,2406.0,1240.0,99.0,283.0,445.0,466.0,469.0,127.0,127.0,172.0,393.0,420.0,102.0,349.0,20.0,316.0,201.0,68.0,52.0,56.0,27.0,74.0,36.0,0.0,20.0,221.0,209.0,23.0,8.0,0.0,11.0,7.0,21.0,16.0,4.0,0.0,32.0,13.0,33.0,0.0,25.0,2.0,8.0,11.0,0.0,69.0,5.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985,36,SU2950086600,51.577497; -1.5756901,Natural_regen,7.94,139.7,0.0,1.0,1.0,0
Bradenham_post-1986_b,2553.0,810.0,9426.0,2905.0,459.0,3676.0,4789.0,4611.0,1993.0,1431.0,131.0,244.0,167.0,636.0,675.0,226.0,202.0,260.0,730.0,427.0,172.0,885.0,32.0,717.0,128.0,186.0,72.0,130.0,61.0,93.0,19.0,0.0,80.0,185.0,17.0,38.0,14.0,0.0,15.0,29.0,22.0,0.0,32.0,0.0,0.0,19.0,47.0,25.0,16.0,16.0,19.0,8.0,15.0,21.0,21.0,30.0,9.0,8.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986,35,SU8290097718,51.672127; -0.80258692,seed_mix,7.84,151.7,0.0,1.0,1.0,1
Lardon_Chase_The_Holies_motorcycle,5215.0,1598.0,2300.0,445.0,66.0,1342.0,911.0,2167.0,2276.0,612.0,32.0,180.0,134.0,174.0,221.0,26.0,41.0,103.0,125.0,91.0,39.0,122.0,18.0,82.0,104.0,11.0,21.0,18.0,0.0,16.0,36.0,0.0,0.0,67.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,14,SU5930079800,51.514021; -1.1468383,Natural_regen,7.94,135.7,0.0,0.0,1.0,0
Stonehenge_2000_2017a,1276.0,3219.0,6670.0,1564.0,961.0,6039.0,4056.0,5809.0,1388.0,1708.0,190.0,409.0,171.0,205.0,813.0,126.0,319.0,160.0,522.0,381.0,194.0,495.0,67.0,459.0,272.0,66.0,80.0,65.0,53.0,129.0,33.0,0.0,124.0,126.0,48.0,19.0,21.0,0.0,13.0,12.0,0.0,24.0,18.0,2.0,10.0,35.0,31.0,27.0,9.0,4.0,24.0,5.0,0.0,16.0,5.0,7.0,6.0,5.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,21,SU1370042400,51.180671; -1.8053828,Green_hay/bush,7.88,144.3,0.0,1.0,1.0,1
Stonehenge_2003_2017b,1169.0,2186.0,6493.0,1694.0,485.0,5361.0,3759.0,5788.0,1300.0,1484.0,226.0,359.0,245.0,380.0,800.0,124.0,199.0,50.0,447.0,426.0,181.0,395.0,66.0,392.0,158.0,137.0,69.0,115.0,40.0,81.0,16.0,0.0,129.0,116.0,18.0,29.0,19.0,0.0,22.0,16.0,27.0,6.0,17.0,0.0,8.0,0.0,49.0,16.0,12.0,10.0,5.0,6.0,0.0,7.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,18,SU1150041600,51.173525; -1.8368821,Green_hay/bush,7.69,184.4,0.0,1.0,1.0,1
Stonehenge_2009,1171.0,2848.0,5922.0,1719.0,469.0,6980.0,3846.0,7255.0,1161.0,1700.0,195.0,416.0,212.0,129.0,855.0,121.0,299.0,109.0,441.0,428.0,207.0,338.0,70.0,455.0,230.0,121.0,88.0,140.0,39.0,80.0,45.0,0.0,133.0,145.0,16.0,0.0,27.0,0.0,17.0,24.0,0.0,8.0,22.0,0.0,7.0,26.0,58.0,11.0,7.0,21.0,7.0,5.0,4.0,13.0,3.0,0.0,0.0,4.0,7.0,10.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,12,SU1050041700,51.174443; -1.8511833,Green_hay/bush,7.82,156.5,0.0,0.0,1.0,1
Stonehenge_2007_2016,1078.0,2205.0,5749.0,1325.0,437.0,5591.0,4800.0,6407.0,1119.0,1321.0,177.0,341.0,177.0,49.0,722.0,112.0,337.0,88.0,478.0,433.0,182.0,452.0,79.0,561.0,220.0,95.0,66.0,108.0,42.0,71.0,12.0,0.0,120.0,96.0,4.0,33.0,21.0,0.0,22.0,16.0,7.0,0.0,19.0,0.0,4.0,19.0,26.0,37.0,0.0,7.0,0.0,7.0,2.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,14,SU1100041900,51.176233; -1.8440251,Green_hay/bush,7.87,158.8,0.0,1.0,1.0,1
Stonehenge_2005,1234.0,2303.0,6345.0,1468.0,586.0,5407.0,4574.0,6237.0,1262.0,1601.0,217.0,365.0,123.0,42.0,763.0,132.0,380.0,94.0,552.0,431.0,169.0,518.0,77.0,440.0,159.0,101.0,48.0,96.0,49.0,66.0,14.0,0.0,100.0,89.0,15.0,36.0,30.0,0.0,16.0,17.0,9.0,0.0,13.0,0.0,6.0,19.0,39.0,22.0,0.0,11.0,0.0,6.0,4.0,34.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,16,SU1140042200,51.178922; -1.8382937,Green_hay/bush,7.85,145.0,0.0,0.0,1.0,1
