index,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Firmicutes,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__,k__Bacteria;__,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Planctomycetes,k__Archaea;p__Crenarchaeota,k__Bacteria;p__WS3,k__Bacteria;p__Armatimonadetes,k__Bacteria;p__Fibrobacteres,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Chlorobi,k__Bacteria;p__WPS-2,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__BRC1,k__Bacteria;p__Spirochaetes,k__Bacteria;p__TM7,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Year_group,Age_group,Age_binary,pH_binary
Whitelands_2018_19_,2698.0,482.0,3741.0,1301.0,459.0,162.0,64.0,87.0,88.0,118.0,107.0,119.0,13.0,10.0,3.0,3.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,2018,3,SU2990087100,51.581972;_-1.5698756,seed_mix,8.03,136.4,no,no,yes,yes,2011-2020,0-10,BelowMedian,AboveMedian
Castle_Field_West__W_,3561.0,699.0,3121.0,957.0,238.0,197.0,140.0,148.0,123.0,74.0,65.0,99.0,8.0,36.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2002,19,SU2950086200,51.573901;_-1.5757235,seed_mix,7.93,139.3,no,yes,yes,yes,2001-2010,11-20,AboveMedian,BelowMedian
Toposcope_Field_-_1980s,3851.0,585.0,3145.0,885.0,174.0,181.0,159.0,111.0,109.0,30.0,102.0,125.0,4.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985,36,SU2950086600,51.577497;_-1.5756901,Natural_regen,7.94,139.7,no,yes,yes,no,1981-2000,31-40,AboveMedian,AboveMedian
Bradenham_post-1986_b,4143.0,189.0,2606.0,1366.0,180.0,37.0,157.0,189.0,105.0,66.0,226.0,191.0,0.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986,35,SU8290097718,51.672127;_-0.80258692,seed_mix,7.84,151.7,no,yes,yes,yes,1981-2000,31-40,AboveMedian,BelowMedian
Lardon_Chase_The_Holies_motorcycle,5214.0,829.0,2240.0,544.0,172.0,107.0,95.0,65.0,53.0,27.0,56.0,65.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,14,SU5930079800,51.514021;_-1.1468383,Natural_regen,7.94,135.7,no,no,yes,no,2001-2010,11-20,BelowMedian,AboveMedian
Stonehenge_2000_2017a,2729.0,762.0,3834.0,1176.0,326.0,59.0,61.0,121.0,88.0,69.0,116.0,109.0,4.0,9.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000,21,SU1370042400,51.180671;_-1.8053828,Green_hay_bush,7.88,144.3,no,yes,yes,yes,1981-2000,21-30,AboveMedian,BelowMedian
Stonehenge_2003_2017b,2860.0,563.0,3829.0,1256.0,246.0,64.0,103.0,118.0,109.0,70.0,110.0,119.0,1.0,17.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,18,SU1150041600,51.173525;_-1.8368821,Green_hay_bush,7.69,184.4,no,yes,yes,yes,2001-2010,11-20,AboveMedian,BelowMedian
Stonehenge_2009,2431.0,761.0,4281.0,1089.0,297.0,61.0,37.0,113.0,95.0,77.0,84.0,128.0,1.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,12,SU1050041700,51.174443;_-1.8511833,Green_hay_bush,7.82,156.5,no,no,yes,yes,2001-2010,11-20,BelowMedian,BelowMedian
Stonehenge_2007_2016,2472.0,619.0,3838.0,1545.0,284.0,53.0,17.0,145.0,128.0,70.0,116.0,170.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,14,SU1100041900,51.176233;_-1.8440251,Green_hay_bush,7.87,158.8,no,yes,yes,yes,2001-2010,11-20,BelowMedian,BelowMedian
Stonehenge_2005,2714.0,634.0,3807.0,1340.0,315.0,38.0,16.0,162.0,109.0,59.0,135.0,129.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,16,SU1140042200,51.178922;_-1.8382937,Green_hay_bush,7.85,145.0,no,no,yes,yes,2001-2010,11-20,AboveMedian,BelowMedian
